Web Search interest: ruby
Worldwide; 2004 - present

Interest over time
Week,ruby
2007-02-04 - 2007-02-10,-30%,+288%
2007-02-11 - 2007-02-17,-31%,+246%
2007-02-18 - 2007-02-24,-31%,+275%
2007-02-25 - 2007-03-03,-30%,+254%
2007-03-04 - 2007-03-10,-31%,+267%
2007-03-11 - 2007-03-17,-28%,+296%
2007-03-18 - 2007-03-24,-30%,+267%
2007-03-25 - 2007-03-31,-28%,+254%
2007-04-01 - 2007-04-07,-32%,+258%
2007-04-08 - 2007-04-14,-32%,+250%
2007-04-15 - 2007-04-21,-30%,+250%
2007-04-22 - 2007-04-28,-31%,+267%
2007-04-29 - 2007-05-05,-36%,+271%
2007-05-06 - 2007-05-12,-31%,+258%
2007-05-13 - 2007-05-19,-32%,+304%
2007-05-20 - 2007-05-26,-31%,+279%
2007-05-27 - 2007-06-02,-30%,+288%
2007-06-03 - 2007-06-09,-30%,+275%
2007-06-10 - 2007-06-16,-33%,+296%
2007-06-17 - 2007-06-23,-31%,+283%
2007-06-24 - 2007-06-30,-32%,+275%
2007-07-01 - 2007-07-07,-33%,+296%
2007-07-08 - 2007-07-14,-33%,+292%
2007-07-15 - 2007-07-21,-33%,+250%
2007-07-22 - 2007-07-28,-35%,+267%
2007-07-29 - 2007-08-04,-37%,+263%
2007-08-05 - 2007-08-11,-36%,+250%
2007-08-12 - 2007-08-18,-37%,+263%
2007-08-19 - 2007-08-25,-35%,+250%
2007-08-26 - 2007-09-01,-36%,+263%
2007-09-02 - 2007-09-08,-36%,+242%
2007-09-09 - 2007-09-15,-36%,+246%
2007-09-16 - 2007-09-22,-35%,+250%
2007-09-23 - 2007-09-29,-35%,+221%
2007-09-30 - 2007-10-06,-37%,+208%
2007-10-07 - 2007-10-13,-34%,+238%
2007-10-14 - 2007-10-20,-35%,+250%
2007-10-21 - 2007-10-27,-35%,+238%
2007-10-28 - 2007-11-03,-34%,+242%
2007-11-04 - 2007-11-10,-35%,+246%
2007-11-11 - 2007-11-17,-33%,+233%
2007-11-18 - 2007-11-24,-31%,+225%
2007-11-25 - 2007-12-01,-27%,+279%
2007-12-02 - 2007-12-08,-28%,+296%
2007-12-09 - 2007-12-15,-37%,+267%
2007-12-16 - 2007-12-22,-39%,+250%
2007-12-23 - 2007-12-29,-50%,+175%
2007-12-30 - 2008-01-05,-51%,+204%
2008-01-06 - 2008-01-12,-40%,+208%
2008-01-13 - 2008-01-19,-41%,+208%
2008-01-20 - 2008-01-26,-40%,+188%
2008-01-27 - 2008-02-02,-41%,+200%
2008-02-03 - 2008-02-09,-40%,+196%
2008-02-10 - 2008-02-16,-41%,+196%
2008-02-17 - 2008-02-23,-39%,+208%
2008-02-24 - 2008-03-01,-39%,+188%
2008-03-02 - 2008-03-08,-40%,+200%
2008-03-09 - 2008-03-15,-39%,+208%
2008-03-16 - 2008-03-22,-41%,+213%
2008-03-23 - 2008-03-29,-42%,+192%
2008-03-30 - 2008-04-05,-39%,+183%
2008-04-06 - 2008-04-12,-37%,+192%
2008-04-13 - 2008-04-19,-39%,+188%
2008-04-20 - 2008-04-26,-37%,+217%
2008-04-27 - 2008-05-03,-44%,+196%
2008-05-04 - 2008-05-10,-41%,+188%
2008-05-11 - 2008-05-17,-41%,+171%
2008-05-18 - 2008-05-24,-41%,+163%
2008-05-25 - 2008-05-31,-41%,+179%
2008-06-01 - 2008-06-07,-42%,+204%
2008-06-08 - 2008-06-14,-41%,+175%
2008-06-15 - 2008-06-21,-41%,+208%
2008-06-22 - 2008-06-28,-43%,+200%
2008-06-29 - 2008-07-05,-41%,+167%
2008-07-06 - 2008-07-12,-43%,+183%
2008-07-13 - 2008-07-19,-42%,+188%
2008-07-20 - 2008-07-26,-43%,+175%
2008-07-27 - 2008-08-02,-43%,+154%
2008-08-03 - 2008-08-09,-44%,+175%
2008-08-10 - 2008-08-16,-45%,+158%
2008-08-17 - 2008-08-23,-44%,+158%
2008-08-24 - 2008-08-30,-43%,+158%
2008-08-31 - 2008-09-06,-45%,+154%
2008-09-07 - 2008-09-13,-43%,+154%
2008-09-14 - 2008-09-20,-44%,+158%
2008-09-21 - 2008-09-27,-44%,+129%
2008-09-28 - 2008-10-04,-47%,+129%
2008-10-05 - 2008-10-11,-44%,+142%
2008-10-12 - 2008-10-18,-43%,+146%
2008-10-19 - 2008-10-25,-42%,+154%
2008-10-26 - 2008-11-01,-43%,+163%
2008-11-02 - 2008-11-08,-43%,+142%
2008-11-09 - 2008-11-15,-42%,+163%
2008-11-16 - 2008-11-22,-43%,+158%
2008-11-23 - 2008-11-29,-47%,+138%
2008-11-30 - 2008-12-06,-44%,+142%
2008-12-07 - 2008-12-13,-45%,+167%
2008-12-14 - 2008-12-20,-47%,+146%
2008-12-21 - 2008-12-27,-55%,+146%
2008-12-28 - 2009-01-03,-58%,+96%
2009-01-04 - 2009-01-10,-43%,+158%
2009-01-11 - 2009-01-17,-43%,+133%
2009-01-18 - 2009-01-24,-44%,+125%
2009-01-25 - 2009-01-31,-45%,+138%
2009-02-01 - 2009-02-07,-43%,+154%
2009-02-08 - 2009-02-14,-43%,+146%
2009-02-15 - 2009-02-21,-42%,+158%
2009-02-22 - 2009-02-28,-43%,+142%
2009-03-01 - 2009-03-07,-44%,+158%
2009-03-08 - 2009-03-14,-43%,+150%
2009-03-15 - 2009-03-21,-43%,+154%
2009-03-22 - 2009-03-28,-43%,+129%
2009-03-29 - 2009-04-04,-43%,+138%
2009-04-05 - 2009-04-11,-45%,+150%
2009-04-12 - 2009-04-18,-45%,+142%
2009-04-19 - 2009-04-25,-44%,+142%
2009-04-26 - 2009-05-02,-48%,+129%
2009-05-03 - 2009-05-09,-44%,+129%
2009-05-10 - 2009-05-16,-43%,+133%
2009-05-17 - 2009-05-23,-45%,+142%
2009-05-24 - 2009-05-30,-48%,+129%
2009-05-31 - 2009-06-06,-47%,+129%
2009-06-07 - 2009-06-13,-45%,+129%
2009-06-14 - 2009-06-20,-47%,+125%
2009-06-21 - 2009-06-27,-49%,+121%
2009-06-28 - 2009-07-04,-50%,+129%
2009-07-05 - 2009-07-11,-47%,+121%
2009-07-12 - 2009-07-18,-47%,+129%
2009-07-19 - 2009-07-25,-49%,+125%
2009-07-26 - 2009-08-01,-49%,+125%
2009-08-02 - 2009-08-08,-48%,+129%
2009-08-09 - 2009-08-15,-49%,+142%
2009-08-16 - 2009-08-22,-47%,+142%
2009-08-23 - 2009-08-29,-47%,+121%
2009-08-30 - 2009-09-05,-47%,+129%
2009-09-06 - 2009-09-12,-48%,+113%
2009-09-13 - 2009-09-19,-48%,+108%
2009-09-20 - 2009-09-26,-48%,+108%
2009-09-27 - 2009-10-03,-50%,+92%
2009-10-04 - 2009-10-10,-47%,+92%
2009-10-11 - 2009-10-17,-48%,+104%
2009-10-18 - 2009-10-24,-39%,+92%
2009-10-25 - 2009-10-31,-40%,+100%
2009-11-01 - 2009-11-07,-43%,+104%
2009-11-08 - 2009-11-14,-44%,+100%
2009-11-15 - 2009-11-21,-44%,+108%
2009-11-22 - 2009-11-28,-47%,+104%
2009-11-29 - 2009-12-05,-47%,+113%
2009-12-06 - 2009-12-12,-47%,+108%
2009-12-13 - 2009-12-19,-49%,+96%
2009-12-20 - 2009-12-26,-55%,+75%
2009-12-27 - 2010-01-02,-58%,+63%
2010-01-03 - 2010-01-09,-51%,+83%
2010-01-10 - 2010-01-16,-49%,+88%
2010-01-17 - 2010-01-23,-49%,+100%
2010-01-24 - 2010-01-30,-48%,+92%
2010-01-31 - 2010-02-06,-47%,+113%
2010-02-07 - 2010-02-13,-49%,+96%
2010-02-14 - 2010-02-20,-49%,+108%
2010-02-21 - 2010-02-27,-47%,+104%
2010-02-28 - 2010-03-06,-48%,+100%
2010-03-07 - 2010-03-13,-45%,+100%
2010-03-14 - 2010-03-20,-48%,+92%
2010-03-21 - 2010-03-27,-48%,+92%
2010-03-28 - 2010-04-03,-49%,+96%
2010-04-04 - 2010-04-10,-49%,+92%
2010-04-11 - 2010-04-17,-45%,+96%
2010-04-18 - 2010-04-24,-48%,+113%
2010-04-25 - 2010-05-01,-49%,+92%
2010-05-02 - 2010-05-08,-50%,+83%
2010-05-09 - 2010-05-15,-48%,+92%
2010-05-16 - 2010-05-22,-48%,+96%
2010-05-23 - 2010-05-29,-51%,+96%
2010-05-30 - 2010-06-05,-49%,+83%
2010-06-06 - 2010-06-12,-50%,+88%
2010-06-13 - 2010-06-19,-51%,+88%
2010-06-20 - 2010-06-26,-50%,+96%
2010-06-27 - 2010-07-03,-52%,+83%
2010-07-04 - 2010-07-10,-55%,+79%
2010-07-11 - 2010-07-17,-55%,+83%
2010-07-18 - 2010-07-24,-52%,+83%
2010-07-25 - 2010-07-31,-53%,+83%
2010-08-01 - 2010-08-07,-53%,+88%
2010-08-08 - 2010-08-14,-55%,+88%
2010-08-15 - 2010-08-21,-53%,+92%
2010-08-22 - 2010-08-28,-52%,+92%
2010-08-29 - 2010-09-04,-53%,+88%
2010-09-05 - 2010-09-11,-55%,+92%
2010-09-12 - 2010-09-18,-52%,+88%
2010-09-19 - 2010-09-25,-53%,+79%
2010-09-26 - 2010-10-02,-51%,+75%
2010-10-03 - 2010-10-09,-51%,+88%
2010-10-10 - 2010-10-16,-52%,+79%
2010-10-17 - 2010-10-23,-52%,+96%
2010-10-24 - 2010-10-30,-51%,+192%
2010-10-31 - 2010-11-06,-53%,+225%
2010-11-07 - 2010-11-13,-52%,+121%
2010-11-14 - 2010-11-20,-52%,+100%
2010-11-21 - 2010-11-27,-55%,+71%
2010-11-28 - 2010-12-04,-55%,+79%
2010-12-05 - 2010-12-11,-55%,+88%
2010-12-12 - 2010-12-18,-55%,+79%
2010-12-19 - 2010-12-25,-58%,+63%
2010-12-26 - 2011-01-01,-62%,+58%
2011-01-02 - 2011-01-08,-56%,+83%
2011-01-09 - 2011-01-15,-55%,+129%
2011-01-16 - 2011-01-22,-52%,+217%
2011-01-23 - 2011-01-29,-55%,+142%
2011-01-30 - 2011-02-05,-56%,+113%
2011-02-06 - 2011-02-12,-53%,+117%
2011-02-13 - 2011-02-19,-53%,+167%
2011-02-20 - 2011-02-26,-55%,+133%
2011-02-27 - 2011-03-05,-55%,+125%
2011-03-06 - 2011-03-12,-55%,+104%
2011-03-13 - 2011-03-19,-55%,+88%
2011-03-20 - 2011-03-26,-53%,+96%
2011-03-27 - 2011-04-02,-53%,+100%
2011-04-03 - 2011-04-09,-53%,+129%
2011-04-10 - 2011-04-16,-51%,+104%
2011-04-17 - 2011-04-23,-55%,+83%
2011-04-24 - 2011-04-30,-56%,+79%
2011-05-01 - 2011-05-07,-57%,+71%
2011-05-08 - 2011-05-14,-55%,+83%
2011-05-15 - 2011-05-21,-55%,+79%
2011-05-22 - 2011-05-28,-52%,+83%
2011-05-29 - 2011-06-04,-57%,+88%
2011-06-05 - 2011-06-11,-55%,+75%
2011-06-12 - 2011-06-18,-55%,+79%
2011-06-19 - 2011-06-25,-56%,+79%
2011-06-26 - 2011-07-02,-57%,+79%
2011-07-03 - 2011-07-09,-57%,+79%
2011-07-10 - 2011-07-16,-57%,+79%
2011-07-17 - 2011-07-23,-57%,+83%
2011-07-24 - 2011-07-30,-57%,+79%
2011-07-31 - 2011-08-06,-57%,+92%
2011-08-07 - 2011-08-13,-57%,+75%
2011-08-14 - 2011-08-20,-58%,+75%
2011-08-21 - 2011-08-27,-57%,+75%
2011-08-28 - 2011-09-03,-57%,+67%
2011-09-04 - 2011-09-10,-58%,+75%
2011-09-11 - 2011-09-17,-55%,+71%
2011-09-18 - 2011-09-24,-57%,+75%
2011-09-25 - 2011-10-01,-56%,+75%
2011-10-02 - 2011-10-08,-58%,+67%
2011-10-09 - 2011-10-15,-56%,+71%
2011-10-16 - 2011-10-22,-55%,+79%
2011-10-23 - 2011-10-29,-56%,+67%
2011-10-30 - 2011-11-05,-58%,+71%
2011-11-06 - 2011-11-12,-56%,+75%
2011-11-13 - 2011-11-19,-56%,+79%
2011-11-20 - 2011-11-26,-57%,+67%
2011-11-27 - 2011-12-03,-57%,+75%
2011-12-04 - 2011-12-10,-57%,+67%
2011-12-11 - 2011-12-17,-56%,+67%
2011-12-18 - 2011-12-24,-60%,+63%
2011-12-25 - 2011-12-31,-65%,+33%
2012-01-01 - 2012-01-07,-61%,+50%
2012-01-08 - 2012-01-14,-58%,+67%
2012-01-15 - 2012-01-21,-59%,+67%
2012-01-22 - 2012-01-28,-59%,+58%
2012-01-29 - 2012-02-04,-58%,+79%
2012-02-05 - 2012-02-11,-58%,+75%
2012-02-12 - 2012-02-18,-56%,+83%
2012-02-19 - 2012-02-25,-57%,+75%
2012-02-26 - 2012-03-03,-57%,+92%
2012-03-04 - 2012-03-10,-57%,+96%
2012-03-11 - 2012-03-17,-57%,+83%
2012-03-18 - 2012-03-24,-58%,+83%
2012-03-25 - 2012-03-31,-57%,+79%
2012-04-01 - 2012-04-07,-59%,+88%
2012-04-08 - 2012-04-14,-59%,+79%
2012-04-15 - 2012-04-21,-58%,+79%
2012-04-22 - 2012-04-28,-58%,+92%
2012-04-29 - 2012-05-05,-59%,+75%
2012-05-06 - 2012-05-12,-59%,+63%
2012-05-13 - 2012-05-19,-58%,+71%
2012-05-20 - 2012-05-26,-56%,+75%
2012-05-27 - 2012-06-02,-58%,+71%
2012-06-03 - 2012-06-09,-59%,+83%
2012-06-10 - 2012-06-16,-59%,+67%
2012-06-17 - 2012-06-23,-59%,+83%
2012-06-24 - 2012-06-30,-59%,+75%
2012-07-01 - 2012-07-07,-61%,+67%
2012-07-08 - 2012-07-14,-60%,+79%
2012-07-15 - 2012-07-21,-60%,+75%
2012-07-22 - 2012-07-28,-60%,+71%
2012-07-29 - 2012-08-04,-62%,+71%
2012-08-05 - 2012-08-11,-61%,+67%
2012-08-12 - 2012-08-18,-61%,+67%
2012-08-19 - 2012-08-25,-59%,+75%
2012-08-26 - 2012-09-01,-59%,+71%
2012-09-02 - 2012-09-08,-59%,+75%
2012-09-09 - 2012-09-15,-58%,+83%
2012-09-16 - 2012-09-22,-58%,+79%
2012-09-23 - 2012-09-29,-59%,+79%
2012-09-30 - 2012-10-06,-59%,+75%
2012-10-07 - 2012-10-13,-59%,+88%
2012-10-14 - 2012-10-20,-59%,+88%
2012-10-21 - 2012-10-27,-58%,+79%
2012-10-28 - 2012-11-03,-60%,+67%
2012-11-04 - 2012-11-10,-59%,+67%
2012-11-11 - 2012-11-17,-60%,+71%
2012-11-18 - 2012-11-24,-60%,+58%
2012-11-25 - 2012-12-01,-59%,+67%
2012-12-02 - 2012-12-08,-60%,+63%
2012-12-09 - 2012-12-15,-60%,+75%
2012-12-16 - 2012-12-22,-62%,+58%
2012-12-23 - 2012-12-29,-69%,+29%
2012-12-30 - 2013-01-05,-67%,+38%
2013-01-06 - 2013-01-12,-60%,+79%
2013-01-13 - 2013-01-19,-59%,+79%
2013-01-20 - 2013-01-26,-60%,+83%
2013-01-27 - 2013-02-02,-60%,+75%
2013-02-03 - 2013-02-09,-59%,+71%
2013-02-10 - 2013-02-16,-61%,+71%
2013-02-17 - 2013-02-23,-60%,+67%
2013-02-24 - 2013-03-02,-60%,+83%
2013-03-03 - 2013-03-09,-59%,+79%
2013-03-10 - 2013-03-16,-60%,+79%
2013-03-17 - 2013-03-23,-60%,+71%
2013-03-24 - 2013-03-30,-61%,+71%
2013-03-31 - 2013-04-06,-61%,+83%
2013-04-07 - 2013-04-13,-59%,+79%
2013-04-14 - 2013-04-20,-60%,+71%
2013-04-21 - 2013-04-27,-59%,+79%
2013-04-28 - 2013-05-04,-62%,+71%
2013-05-05 - 2013-05-11,-62%,+71%
2013-05-12 - 2013-05-18,-61%,+92%
2013-05-19 - 2013-05-25,-62%,+75%
2013-05-26 - 2013-06-01,-61%,+67%
2013-06-02 - 2013-06-08,-60%,+75%
2013-06-09 - 2013-06-15,-61%,+67%
2013-06-16 - 2013-06-22,-61%,+71%
2013-06-23 - 2013-06-29,-61%,+121%
2013-06-30 - 2013-07-06,-62%,+67%
2013-07-07 - 2013-07-13,-62%,+67%
2013-07-14 - 2013-07-20,-64%,+75%
2013-07-21 - 2013-07-27,-62%,+83%
2013-07-28 - 2013-08-03,-64%,+71%
2013-08-04 - 2013-08-10,-65%,+67%
2013-08-11 - 2013-08-17,-64%,+58%
2013-08-18 - 2013-08-24,-62%,+67%
2013-08-25 - 2013-08-31,-62%,+67%
2013-09-01 - 2013-09-07,-62%,+63%
2013-09-08 - 2013-09-14,-61%,+58%
2013-09-15 - 2013-09-21,-62%,+63%
2013-09-22 - 2013-09-28,-61%,+58%
2013-09-29 - 2013-10-05,-61%,+54%
2013-10-06 - 2013-10-12,-60%,+75%
2013-10-13 - 2013-10-19,-60%,+67%
2013-10-20 - 2013-10-26,-61%,+71%
2013-10-27 - 2013-11-02,-62%,+58%
2013-11-03 - 2013-11-09,-62%,+54%
2013-11-10 - 2013-11-16,-61%,+67%
2013-11-17 - 2013-11-23,-60%,+79%
2013-11-24 - 2013-11-30,-62%,+67%
2013-12-01 - 2013-12-07,-62%,+63%
2013-12-08 - 2013-12-14,-62%,+54%
2013-12-15 - 2013-12-21,-64%,+54%
2013-12-22 - 2013-12-28,-69%,+29%
2013-12-29 - 2014-01-04,-70%,+25%
2014-01-05 - 2014-01-11,-64%,+54%
2014-01-12 - 2014-01-18,-61%,+67%
2014-01-19 - 2014-01-25,-61%,+63%
2014-01-26 - 2014-02-01,-62%,+63%
2014-02-02 - 2014-02-08,-64%,+54%
2014-02-09 - 2014-02-15,-62%,+58%
2014-02-16 - 2014-02-22,-61%,+67%
2014-02-23 - 2014-03-01,-61%,+71%
2014-03-02 - 2014-03-08,-61%,+63%
2014-03-09 - 2014-03-15,-60%,+58%
2014-03-16 - 2014-03-22,-61%,+58%
2014-03-23 - 2014-03-29,-61%,+67%
2014-03-30 - 2014-04-05,-61%,+67%
2014-04-06 - 2014-04-12,-62%,+58%
2014-04-13 - 2014-04-19,-61%,+63%
2014-04-20 - 2014-04-26,-61%,+58%
2014-04-27 - 2014-05-03,-64%,+54%
2014-05-04 - 2014-05-10,-62%,+54%
2014-05-11 - 2014-05-17,-61%,+63%
2014-05-18 - 2014-05-24,-62%,+63%
2014-05-25 - 2014-05-31,-64%,+50%
2014-06-01 - 2014-06-07,-61%,+54%
2014-06-08 - 2014-06-14,-65%,+58%
2014-06-15 - 2014-06-21,-64%,+54%
2014-06-22 - 2014-06-28,-64%,+54%
2014-06-29 - 2014-07-05,-65%,+46%
2014-07-06 - 2014-07-12,-65%,+54%
2014-07-13 - 2014-07-19,-64%,+71%
2014-07-20 - 2014-07-26,-64%,+54%
2014-07-27 - 2014-08-02,-65%,+54%
2014-08-03 - 2014-08-09,-65%,+79%
2014-08-10 - 2014-08-16, , 
2014-08-17 - 2014-08-23, , 
2014-08-24 - 2014-08-30, , 
2014-08-31 - 2014-09-06, , 


Top regions for ruby
Region,ruby
New Zealand,100
Japan,90
United States,63
Belarus,60
Hong Kong,52
Estonia,49
India,48
Singapore,48
Australia,44
Czech Republic,43
China,42
Canada,41
Latvia,40
Sweden,39
Ireland,39
Russia,38
South Africa,37
United Kingdom,36
Taiwan,36
Ukraine,36
Norway,34
Philippines,34
Switzerland,34
Romania,34
South Korea,33
Germany,32
Finland,32
Denmark,32
Moldova,31
Uruguay,30
Netherlands,30
Sri Lanka,30
Israel,29
Austria,28
Kenya,28
Bangladesh,27
Costa Rica,27
Portugal,26
Italy,25
Poland,24
Slovenia,24
Belgium,23
Lithuania,21
Slovakia,20
Pakistan,20
Bolivia,20
Bulgaria,20
Brazil,20
Malaysia,19
France,19
Spain,19
Croatia,18
Morocco,17
Dominican Republic,17
Hungary,16
Greece,16
Tunisia,16
Argentina,15
United Arab Emirates,15
Chile,15
Nigeria,15
Mexico,14
Vietnam,13
Serbia,13
Egypt,12
Indonesia,12
Venezuela,12
Colombia,12
Thailand,11
Algeria,11
Ecuador,10
Peru,10
Iran,7
Turkey,4
Saudi Arabia,4


Top cities for ruby
City,ruby
San Francisco (United States),100
Seattle (United States),69
Austin (United States),57
Auckland (New Zealand),55
Bangalore (India),50
Beijing (China),43
Shanghai (China),41
Chennai (India),36
New York (United States),36
Denver (United States),33
Chicago (United States),32
Moscow (Russia),31
Berlin (Germany),29
Singapore (Singapore),28
London (United Kingdom),27



Top searches for ruby
rails,100
ruby rails,100
ruby on rails,70
ruby string,15
ruby tutorial,10
ruby for,10
hash ruby,10
ruby rails tutorial,10
ruby array,5
ruby class,5
ruby programming,5
ruby language,5
ruby api,5
ruby windows,5
ruby date,5
ruby time,5
ruby code,5
ruby download,5
ruby regex,5
github,5
html ruby,5
ruby and rails,0
ruby if,0
ruby script,0
rails api,0
ruby case,0
wiki ruby,0
sinatra ruby,0
ruby programming language,0
ruby 配列,0
ruby select,0
ruby gui,0
ruby on rail,0
ruby include,0
ruby print,0
ruby 入門,0
ror,0
call ruby,0
strftime ruby,0
ruby regexp,0
ruby vs php,0
strftime,0
jruby,0
ruby 2.0,0
ruby datetime,0
textmate,0
ruby regular expression,0
python vs ruby,0
heroku,0
ruby 正規表現,0



Rising searches for ruby
hash ruby,Breakout
ruby api,Breakout
ruby array,Breakout
ruby class,Breakout
ruby date,Breakout
ruby rails tutorial,Breakout
ruby time,Breakout
ruby on rails,+2,900%
ruby rails,+1,950%
rails,+1,850%



