Web Search interest: scala
Worldwide; 2004 - present

Interest over time
Week,scala
2007-02-04 - 2007-02-10,-30%,-36%
2007-02-11 - 2007-02-17,-31%,-32%
2007-02-18 - 2007-02-24,-31%,-29%
2007-02-25 - 2007-03-03,-30%,-50%
2007-03-04 - 2007-03-10,-31%,-68%
2007-03-11 - 2007-03-17,-28%,-57%
2007-03-18 - 2007-03-24,-30%,-18%
2007-03-25 - 2007-03-31,-28%,-11%
2007-04-01 - 2007-04-07,-32%,-32%
2007-04-08 - 2007-04-14,-32%,-43%
2007-04-15 - 2007-04-21,-30%,-36%
2007-04-22 - 2007-04-28,-31%,-46%
2007-04-29 - 2007-05-05,-36%,-43%
2007-05-06 - 2007-05-12,-31%,-32%
2007-05-13 - 2007-05-19,-32%,-46%
2007-05-20 - 2007-05-26,-31%,-50%
2007-05-27 - 2007-06-02,-30%,-50%
2007-06-03 - 2007-06-09,-30%,-36%
2007-06-10 - 2007-06-16,-33%,-25%
2007-06-17 - 2007-06-23,-31%,-18%
2007-06-24 - 2007-06-30,-32%,-54%
2007-07-01 - 2007-07-07,-33%,-36%
2007-07-08 - 2007-07-14,-33%,-57%
2007-07-15 - 2007-07-21,-33%,-46%
2007-07-22 - 2007-07-28,-35%,-57%
2007-07-29 - 2007-08-04,-37%,-43%
2007-08-05 - 2007-08-11,-36%,-4%
2007-08-12 - 2007-08-18,-37%,-46%
2007-08-19 - 2007-08-25,-35%,-61%
2007-08-26 - 2007-09-01,-36%,-57%
2007-09-02 - 2007-09-08,-36%,-50%
2007-09-09 - 2007-09-15,-36%,-36%
2007-09-16 - 2007-09-22,-35%,-21%
2007-09-23 - 2007-09-29,-35%,-21%
2007-09-30 - 2007-10-06,-37%,-46%
2007-10-07 - 2007-10-13,-34%,-46%
2007-10-14 - 2007-10-20,-35%,-46%
2007-10-21 - 2007-10-27,-35%,-18%
2007-10-28 - 2007-11-03,-34%,-39%
2007-11-04 - 2007-11-10,-35%,-25%
2007-11-11 - 2007-11-17,-33%,-7%
2007-11-18 - 2007-11-24,-31%,-29%
2007-11-25 - 2007-12-01,-27%,-39%
2007-12-02 - 2007-12-08,-28%,-25%
2007-12-09 - 2007-12-15,-37%,-39%
2007-12-16 - 2007-12-22,-39%,-21%
2007-12-23 - 2007-12-29,-50%,-25%
2007-12-30 - 2008-01-05,-51%,-25%
2008-01-06 - 2008-01-12,-40%,-21%
2008-01-13 - 2008-01-19,-41%,-29%
2008-01-20 - 2008-01-26,-40%,-32%
2008-01-27 - 2008-02-02,-41%,-29%
2008-02-03 - 2008-02-09,-40%,-11%
2008-02-10 - 2008-02-16,-41%,-36%
2008-02-17 - 2008-02-23,-39%,-43%
2008-02-24 - 2008-03-01,-39%,-39%
2008-03-02 - 2008-03-08,-40%,-50%
2008-03-09 - 2008-03-15,-39%,-39%
2008-03-16 - 2008-03-22,-41%,-18%
2008-03-23 - 2008-03-29,-42%,-43%
2008-03-30 - 2008-04-05,-39%,-32%
2008-04-06 - 2008-04-12,-37%,-54%
2008-04-13 - 2008-04-19,-39%,-25%
2008-04-20 - 2008-04-26,-37%,-29%
2008-04-27 - 2008-05-03,-44%,-36%
2008-05-04 - 2008-05-10,-41%,-29%
2008-05-11 - 2008-05-17,-41%,-25%
2008-05-18 - 2008-05-24,-41%,-25%
2008-05-25 - 2008-05-31,-41%,-29%
2008-06-01 - 2008-06-07,-42%,-29%
2008-06-08 - 2008-06-14,-41%,-11%
2008-06-15 - 2008-06-21,-41%,-39%
2008-06-22 - 2008-06-28,-43%,-29%
2008-06-29 - 2008-07-05,-41%,-50%
2008-07-06 - 2008-07-12,-43%,-21%
2008-07-13 - 2008-07-19,-42%,-32%
2008-07-20 - 2008-07-26,-43%,-36%
2008-07-27 - 2008-08-02,-43%,-21%
2008-08-03 - 2008-08-09,-44%,-39%
2008-08-10 - 2008-08-16,-45%,-43%
2008-08-17 - 2008-08-23,-44%,-25%
2008-08-24 - 2008-08-30,-43%,-36%
2008-08-31 - 2008-09-06,-45%,-43%
2008-09-07 - 2008-09-13,-43%,-18%
2008-09-14 - 2008-09-20,-44%,-18%
2008-09-21 - 2008-09-27,-44%,+0%
2008-09-28 - 2008-10-04,-47%,-32%
2008-10-05 - 2008-10-11,-44%,+4%
2008-10-12 - 2008-10-18,-43%,-32%
2008-10-19 - 2008-10-25,-42%,-43%
2008-10-26 - 2008-11-01,-43%,-21%
2008-11-02 - 2008-11-08,-43%,-25%
2008-11-09 - 2008-11-15,-42%,-7%
2008-11-16 - 2008-11-22,-43%,-21%
2008-11-23 - 2008-11-29,-47%,-32%
2008-11-30 - 2008-12-06,-44%,-14%
2008-12-07 - 2008-12-13,-45%,-36%
2008-12-14 - 2008-12-20,-47%,-36%
2008-12-21 - 2008-12-27,-55%,-25%
2008-12-28 - 2009-01-03,-58%,-39%
2009-01-04 - 2009-01-10,-43%,-32%
2009-01-11 - 2009-01-17,-43%,-7%
2009-01-18 - 2009-01-24,-44%,-32%
2009-01-25 - 2009-01-31,-45%,-32%
2009-02-01 - 2009-02-07,-43%,-29%
2009-02-08 - 2009-02-14,-43%,-46%
2009-02-15 - 2009-02-21,-42%,-32%
2009-02-22 - 2009-02-28,-43%,-36%
2009-03-01 - 2009-03-07,-44%,-29%
2009-03-08 - 2009-03-14,-43%,-14%
2009-03-15 - 2009-03-21,-43%,-21%
2009-03-22 - 2009-03-28,-43%,-46%
2009-03-29 - 2009-04-04,-43%,+7%
2009-04-05 - 2009-04-11,-45%,+7%
2009-04-12 - 2009-04-18,-45%,+14%
2009-04-19 - 2009-04-25,-44%,+11%
2009-04-26 - 2009-05-02,-48%,+0%
2009-05-03 - 2009-05-09,-44%,+4%
2009-05-10 - 2009-05-16,-43%,+14%
2009-05-17 - 2009-05-23,-45%,+4%
2009-05-24 - 2009-05-30,-48%,+0%
2009-05-31 - 2009-06-06,-47%,+18%
2009-06-07 - 2009-06-13,-45%,+4%
2009-06-14 - 2009-06-20,-47%,-7%
2009-06-21 - 2009-06-27,-49%,-11%
2009-06-28 - 2009-07-04,-50%,-7%
2009-07-05 - 2009-07-11,-47%,+29%
2009-07-12 - 2009-07-18,-47%,-4%
2009-07-19 - 2009-07-25,-49%,+36%
2009-07-26 - 2009-08-01,-49%,+21%
2009-08-02 - 2009-08-08,-48%,+11%
2009-08-09 - 2009-08-15,-49%,-11%
2009-08-16 - 2009-08-22,-47%,+18%
2009-08-23 - 2009-08-29,-47%,+29%
2009-08-30 - 2009-09-05,-47%,+18%
2009-09-06 - 2009-09-12,-48%,+11%
2009-09-13 - 2009-09-19,-48%,+21%
2009-09-20 - 2009-09-26,-48%,+29%
2009-09-27 - 2009-10-03,-50%,+36%
2009-10-04 - 2009-10-10,-47%,+29%
2009-10-11 - 2009-10-17,-48%,+29%
2009-10-18 - 2009-10-24,-39%,+25%
2009-10-25 - 2009-10-31,-40%,+32%
2009-11-01 - 2009-11-07,-43%,+32%
2009-11-08 - 2009-11-14,-44%,+32%
2009-11-15 - 2009-11-21,-44%,+32%
2009-11-22 - 2009-11-28,-47%,+29%
2009-11-29 - 2009-12-05,-47%,+0%
2009-12-06 - 2009-12-12,-47%,+36%
2009-12-13 - 2009-12-19,-49%,+36%
2009-12-20 - 2009-12-26,-55%,+18%
2009-12-27 - 2010-01-02,-58%,-4%
2010-01-03 - 2010-01-09,-51%,+4%
2010-01-10 - 2010-01-16,-49%,-21%
2010-01-17 - 2010-01-23,-49%,-7%
2010-01-24 - 2010-01-30,-48%,+29%
2010-01-31 - 2010-02-06,-47%,+7%
2010-02-07 - 2010-02-13,-49%,+29%
2010-02-14 - 2010-02-20,-49%,+4%
2010-02-21 - 2010-02-27,-47%,-18%
2010-02-28 - 2010-03-06,-48%,+18%
2010-03-07 - 2010-03-13,-45%,+14%
2010-03-14 - 2010-03-20,-48%,+11%
2010-03-21 - 2010-03-27,-48%,+11%
2010-03-28 - 2010-04-03,-49%,-4%
2010-04-04 - 2010-04-10,-49%,+0%
2010-04-11 - 2010-04-17,-45%,+29%
2010-04-18 - 2010-04-24,-48%,+32%
2010-04-25 - 2010-05-01,-49%,+46%
2010-05-02 - 2010-05-08,-50%,+29%
2010-05-09 - 2010-05-15,-48%,+21%
2010-05-16 - 2010-05-22,-48%,+7%
2010-05-23 - 2010-05-29,-51%,+11%
2010-05-30 - 2010-06-05,-49%,+21%
2010-06-06 - 2010-06-12,-50%,+29%
2010-06-13 - 2010-06-19,-51%,+11%
2010-06-20 - 2010-06-26,-50%,+29%
2010-06-27 - 2010-07-03,-52%,+14%
2010-07-04 - 2010-07-10,-55%,+11%
2010-07-11 - 2010-07-17,-55%,+32%
2010-07-18 - 2010-07-24,-52%,+75%
2010-07-25 - 2010-07-31,-53%,+43%
2010-08-01 - 2010-08-07,-53%,+39%
2010-08-08 - 2010-08-14,-55%,+57%
2010-08-15 - 2010-08-21,-53%,+61%
2010-08-22 - 2010-08-28,-52%,+64%
2010-08-29 - 2010-09-04,-53%,+50%
2010-09-05 - 2010-09-11,-55%,+46%
2010-09-12 - 2010-09-18,-52%,+68%
2010-09-19 - 2010-09-25,-53%,+61%
2010-09-26 - 2010-10-02,-51%,+82%
2010-10-03 - 2010-10-09,-51%,+100%
2010-10-10 - 2010-10-16,-52%,+36%
2010-10-17 - 2010-10-23,-52%,+61%
2010-10-24 - 2010-10-30,-51%,+50%
2010-10-31 - 2010-11-06,-53%,+39%
2010-11-07 - 2010-11-13,-52%,+43%
2010-11-14 - 2010-11-20,-52%,+43%
2010-11-21 - 2010-11-27,-55%,+18%
2010-11-28 - 2010-12-04,-55%,+39%
2010-12-05 - 2010-12-11,-55%,+79%
2010-12-12 - 2010-12-18,-55%,+46%
2010-12-19 - 2010-12-25,-58%,+46%
2010-12-26 - 2011-01-01,-62%,+32%
2011-01-02 - 2011-01-08,-56%,+25%
2011-01-09 - 2011-01-15,-55%,+43%
2011-01-16 - 2011-01-22,-52%,+39%
2011-01-23 - 2011-01-29,-55%,+50%
2011-01-30 - 2011-02-05,-56%,+18%
2011-02-06 - 2011-02-12,-53%,+25%
2011-02-13 - 2011-02-19,-53%,+36%
2011-02-20 - 2011-02-26,-55%,+36%
2011-02-27 - 2011-03-05,-55%,+25%
2011-03-06 - 2011-03-12,-55%,+39%
2011-03-13 - 2011-03-19,-55%,+7%
2011-03-20 - 2011-03-26,-53%,+36%
2011-03-27 - 2011-04-02,-53%,+79%
2011-04-03 - 2011-04-09,-53%,+50%
2011-04-10 - 2011-04-16,-51%,+39%
2011-04-17 - 2011-04-23,-55%,+79%
2011-04-24 - 2011-04-30,-56%,+54%
2011-05-01 - 2011-05-07,-57%,+29%
2011-05-08 - 2011-05-14,-55%,+57%
2011-05-15 - 2011-05-21,-55%,+61%
2011-05-22 - 2011-05-28,-52%,+43%
2011-05-29 - 2011-06-04,-57%,+50%
2011-06-05 - 2011-06-11,-55%,+54%
2011-06-12 - 2011-06-18,-55%,+82%
2011-06-19 - 2011-06-25,-56%,+46%
2011-06-26 - 2011-07-02,-57%,+46%
2011-07-03 - 2011-07-09,-57%,+36%
2011-07-10 - 2011-07-16,-57%,+36%
2011-07-17 - 2011-07-23,-57%,+54%
2011-07-24 - 2011-07-30,-57%,+25%
2011-07-31 - 2011-08-06,-57%,+36%
2011-08-07 - 2011-08-13,-57%,+39%
2011-08-14 - 2011-08-20,-58%,+54%
2011-08-21 - 2011-08-27,-57%,+43%
2011-08-28 - 2011-09-03,-57%,+39%
2011-09-04 - 2011-09-10,-58%,+54%
2011-09-11 - 2011-09-17,-55%,+54%
2011-09-18 - 2011-09-24,-57%,+39%
2011-09-25 - 2011-10-01,-56%,+43%
2011-10-02 - 2011-10-08,-58%,+57%
2011-10-09 - 2011-10-15,-56%,+32%
2011-10-16 - 2011-10-22,-55%,+32%
2011-10-23 - 2011-10-29,-56%,+32%
2011-10-30 - 2011-11-05,-58%,+32%
2011-11-06 - 2011-11-12,-56%,+43%
2011-11-13 - 2011-11-19,-56%,+46%
2011-11-20 - 2011-11-26,-57%,+36%
2011-11-27 - 2011-12-03,-57%,+75%
2011-12-04 - 2011-12-10,-57%,+75%
2011-12-11 - 2011-12-17,-56%,+93%
2011-12-18 - 2011-12-24,-60%,+104%
2011-12-25 - 2011-12-31,-65%,+50%
2012-01-01 - 2012-01-07,-61%,+14%
2012-01-08 - 2012-01-14,-58%,+21%
2012-01-15 - 2012-01-21,-59%,+21%
2012-01-22 - 2012-01-28,-59%,+29%
2012-01-29 - 2012-02-04,-58%,+0%
2012-02-05 - 2012-02-11,-58%,+29%
2012-02-12 - 2012-02-18,-56%,+43%
2012-02-19 - 2012-02-25,-57%,+18%
2012-02-26 - 2012-03-03,-57%,+25%
2012-03-04 - 2012-03-10,-57%,+21%
2012-03-11 - 2012-03-17,-57%,+14%
2012-03-18 - 2012-03-24,-58%,+39%
2012-03-25 - 2012-03-31,-57%,+25%
2012-04-01 - 2012-04-07,-59%,+18%
2012-04-08 - 2012-04-14,-59%,+18%
2012-04-15 - 2012-04-21,-58%,+18%
2012-04-22 - 2012-04-28,-58%,+36%
2012-04-29 - 2012-05-05,-59%,+25%
2012-05-06 - 2012-05-12,-59%,+21%
2012-05-13 - 2012-05-19,-58%,+14%
2012-05-20 - 2012-05-26,-56%,+18%
2012-05-27 - 2012-06-02,-58%,+25%
2012-06-03 - 2012-06-09,-59%,+0%
2012-06-10 - 2012-06-16,-59%,+21%
2012-06-17 - 2012-06-23,-59%,+21%
2012-06-24 - 2012-06-30,-59%,+21%
2012-07-01 - 2012-07-07,-61%,+14%
2012-07-08 - 2012-07-14,-60%,+29%
2012-07-15 - 2012-07-21,-60%,+29%
2012-07-22 - 2012-07-28,-60%,+7%
2012-07-29 - 2012-08-04,-62%,+0%
2012-08-05 - 2012-08-11,-61%,+7%
2012-08-12 - 2012-08-18,-61%,+29%
2012-08-19 - 2012-08-25,-59%,+29%
2012-08-26 - 2012-09-01,-59%,+32%
2012-09-02 - 2012-09-08,-59%,+39%
2012-09-09 - 2012-09-15,-58%,+46%
2012-09-16 - 2012-09-22,-58%,+96%
2012-09-23 - 2012-09-29,-59%,+107%
2012-09-30 - 2012-10-06,-59%,+46%
2012-10-07 - 2012-10-13,-59%,+61%
2012-10-14 - 2012-10-20,-59%,+43%
2012-10-21 - 2012-10-27,-58%,+68%
2012-10-28 - 2012-11-03,-60%,+54%
2012-11-04 - 2012-11-10,-59%,+43%
2012-11-11 - 2012-11-17,-60%,+29%
2012-11-18 - 2012-11-24,-60%,+29%
2012-11-25 - 2012-12-01,-59%,+36%
2012-12-02 - 2012-12-08,-60%,+39%
2012-12-09 - 2012-12-15,-60%,+39%
2012-12-16 - 2012-12-22,-62%,+32%
2012-12-23 - 2012-12-29,-69%,+11%
2012-12-30 - 2013-01-05,-67%,+25%
2013-01-06 - 2013-01-12,-60%,+25%
2013-01-13 - 2013-01-19,-59%,+36%
2013-01-20 - 2013-01-26,-60%,+32%
2013-01-27 - 2013-02-02,-60%,+29%
2013-02-03 - 2013-02-09,-59%,+36%
2013-02-10 - 2013-02-16,-61%,+36%
2013-02-17 - 2013-02-23,-60%,+36%
2013-02-24 - 2013-03-02,-60%,+36%
2013-03-03 - 2013-03-09,-59%,+36%
2013-03-10 - 2013-03-16,-60%,+36%
2013-03-17 - 2013-03-23,-60%,+36%
2013-03-24 - 2013-03-30,-61%,+57%
2013-03-31 - 2013-04-06,-61%,+61%
2013-04-07 - 2013-04-13,-59%,+50%
2013-04-14 - 2013-04-20,-60%,+46%
2013-04-21 - 2013-04-27,-59%,+39%
2013-04-28 - 2013-05-04,-62%,+29%
2013-05-05 - 2013-05-11,-62%,+39%
2013-05-12 - 2013-05-18,-61%,+29%
2013-05-19 - 2013-05-25,-62%,+43%
2013-05-26 - 2013-06-01,-61%,+25%
2013-06-02 - 2013-06-08,-60%,+25%
2013-06-09 - 2013-06-15,-61%,+29%
2013-06-16 - 2013-06-22,-61%,+25%
2013-06-23 - 2013-06-29,-61%,+32%
2013-06-30 - 2013-07-06,-62%,+36%
2013-07-07 - 2013-07-13,-62%,+29%
2013-07-14 - 2013-07-20,-64%,+21%
2013-07-21 - 2013-07-27,-62%,+7%
2013-07-28 - 2013-08-03,-64%,+21%
2013-08-04 - 2013-08-10,-65%,+32%
2013-08-11 - 2013-08-17,-64%,+32%
2013-08-18 - 2013-08-24,-62%,+21%
2013-08-25 - 2013-08-31,-62%,+36%
2013-09-01 - 2013-09-07,-62%,+39%
2013-09-08 - 2013-09-14,-61%,+43%
2013-09-15 - 2013-09-21,-62%,+54%
2013-09-22 - 2013-09-28,-61%,+82%
2013-09-29 - 2013-10-05,-61%,+64%
2013-10-06 - 2013-10-12,-60%,+75%
2013-10-13 - 2013-10-19,-60%,+57%
2013-10-20 - 2013-10-26,-61%,+61%
2013-10-27 - 2013-11-02,-62%,+57%
2013-11-03 - 2013-11-09,-62%,+71%
2013-11-10 - 2013-11-16,-61%,+71%
2013-11-17 - 2013-11-23,-60%,+79%
2013-11-24 - 2013-11-30,-62%,+54%
2013-12-01 - 2013-12-07,-62%,+54%
2013-12-08 - 2013-12-14,-62%,+46%
2013-12-15 - 2013-12-21,-64%,+50%
2013-12-22 - 2013-12-28,-69%,+21%
2013-12-29 - 2014-01-04,-70%,+11%
2014-01-05 - 2014-01-11,-64%,+39%
2014-01-12 - 2014-01-18,-61%,+39%
2014-01-19 - 2014-01-25,-61%,+46%
2014-01-26 - 2014-02-01,-62%,+36%
2014-02-02 - 2014-02-08,-64%,+36%
2014-02-09 - 2014-02-15,-62%,+36%
2014-02-16 - 2014-02-22,-61%,+39%
2014-02-23 - 2014-03-01,-61%,+32%
2014-03-02 - 2014-03-08,-61%,+57%
2014-03-09 - 2014-03-15,-60%,+32%
2014-03-16 - 2014-03-22,-61%,+50%
2014-03-23 - 2014-03-29,-61%,+68%
2014-03-30 - 2014-04-05,-61%,+50%
2014-04-06 - 2014-04-12,-62%,+46%
2014-04-13 - 2014-04-19,-61%,+36%
2014-04-20 - 2014-04-26,-61%,+57%
2014-04-27 - 2014-05-03,-64%,+61%
2014-05-04 - 2014-05-10,-62%,+50%
2014-05-11 - 2014-05-17,-61%,+50%
2014-05-18 - 2014-05-24,-62%,+61%
2014-05-25 - 2014-05-31,-64%,+57%
2014-06-01 - 2014-06-07,-61%,+54%
2014-06-08 - 2014-06-14,-65%,+54%
2014-06-15 - 2014-06-21,-64%,+46%
2014-06-22 - 2014-06-28,-64%,+36%
2014-06-29 - 2014-07-05,-65%,+46%
2014-07-06 - 2014-07-12,-65%,+50%
2014-07-13 - 2014-07-19,-64%,+36%
2014-07-20 - 2014-07-26,-64%,+43%
2014-07-27 - 2014-08-02,-65%,+25%
2014-08-03 - 2014-08-09,-65%,+50%
2014-08-10 - 2014-08-16, , 
2014-08-17 - 2014-08-23, , 
2014-08-24 - 2014-08-30, , 
2014-08-31 - 2014-09-06, , 


Top regions for scala
Region,scala
Belgium,100
Germany,69
Switzerland,63
Austria,47
Ireland,45
Norway,44
Finland,42
Russia,39
Sweden,39
Ukraine,34
Italy,33
Netherlands,32
Denmark,32
Japan,32
Israel,31
United Kingdom,29
United States,29
Brazil,27
China,26
Australia,23
Poland,22
Canada,20
France,19
India,19
Spain,13
Mexico,6
Turkey,5


Top cities for scala
City,scala
Brussels (Belgium),100
San Francisco (United States),98
Porto Alegre (Brazil),94
Berlin (Germany),92
Munich (Germany),76
Hamburg (Germany),72
Oslo (Norway),62
Austin (United States),56
Frankfurt (Germany),54
Stockholm (Sweden),54
Seattle (United States),53
Zurich (Switzerland),53
Dublin (Ireland),52
Moscow (Russia),51
Shanghai (China),51



Top searches for scala
scala java,100
scala kolacny,100
scala brothers,85
scala kolacny brothers,80
scala programming,50
scala & kolacny,45
scala and kolacny,40
scala language,35
scala framework,30
scala string,30
scala play,30
scala list,30
scala eclipse,30
scala class,25
scala maven,25
intellij,25
scala programming language,25
scala intellij,20
scala ide,20
scala play framework,20
scala tutorial,20
play framework,20
scala download,20
scala netbeans,20
scala choir,15
scala map,15
scala json,15
clojure,15
scala lift,15
programming in scala,10
scala match,10
scala api,10
scala functional programming,10
functional programming,10
scala chor,10
scala web framework,10
scala regex,10
scala vs java,10
scala compiler,10
scala set,10
scala pattern matching,10
scala case class,10
scala club,10
scala koor,10
scala xml,5
scala array,5
scala option,5



Rising searches for scala
scala and kolacny,Breakout
scala class,Breakout
scala eclipse,Breakout
scala framework,Breakout
scala java,Breakout
scala language,Breakout
scala list,Breakout
scala maven,Breakout
scala play,Breakout
scala programming,Breakout



