Web Search interest: sql server
Worldwide; 2004 - present

Interest over time
Week,sql server
2007-02-04 - 2007-02-10,-30%,-12%
2007-02-11 - 2007-02-17,-31%,-15%
2007-02-18 - 2007-02-24,-31%,-18%
2007-02-25 - 2007-03-03,-30%,-18%
2007-03-04 - 2007-03-10,-31%,-19%
2007-03-11 - 2007-03-17,-28%,-19%
2007-03-18 - 2007-03-24,-30%,-22%
2007-03-25 - 2007-03-31,-28%,-15%
2007-04-01 - 2007-04-07,-32%,-24%
2007-04-08 - 2007-04-14,-32%,-25%
2007-04-15 - 2007-04-21,-30%,-24%
2007-04-22 - 2007-04-28,-31%,-16%
2007-04-29 - 2007-05-05,-36%,-24%
2007-05-06 - 2007-05-12,-31%,-21%
2007-05-13 - 2007-05-19,-32%,-10%
2007-05-20 - 2007-05-26,-31%,-22%
2007-05-27 - 2007-06-02,-30%,-18%
2007-06-03 - 2007-06-09,-30%,-15%
2007-06-10 - 2007-06-16,-33%,-18%
2007-06-17 - 2007-06-23,-31%,-13%
2007-06-24 - 2007-06-30,-32%,-15%
2007-07-01 - 2007-07-07,-33%,-18%
2007-07-08 - 2007-07-14,-33%,-15%
2007-07-15 - 2007-07-21,-33%,-13%
2007-07-22 - 2007-07-28,-35%,-21%
2007-07-29 - 2007-08-04,-37%,-18%
2007-08-05 - 2007-08-11,-36%,-16%
2007-08-12 - 2007-08-18,-37%,-16%
2007-08-19 - 2007-08-25,-35%,-22%
2007-08-26 - 2007-09-01,-36%,-18%
2007-09-02 - 2007-09-08,-36%,-24%
2007-09-09 - 2007-09-15,-36%,-21%
2007-09-16 - 2007-09-22,-35%,-18%
2007-09-23 - 2007-09-29,-35%,-22%
2007-09-30 - 2007-10-06,-37%,-25%
2007-10-07 - 2007-10-13,-34%,-26%
2007-10-14 - 2007-10-20,-35%,-26%
2007-10-21 - 2007-10-27,-35%,-22%
2007-10-28 - 2007-11-03,-34%,-29%
2007-11-04 - 2007-11-10,-35%,-24%
2007-11-11 - 2007-11-17,-33%,-21%
2007-11-18 - 2007-11-24,-31%,-21%
2007-11-25 - 2007-12-01,-27%,-10%
2007-12-02 - 2007-12-08,-28%,-15%
2007-12-09 - 2007-12-15,-37%,-26%
2007-12-16 - 2007-12-22,-39%,-28%
2007-12-23 - 2007-12-29,-50%,-53%
2007-12-30 - 2008-01-05,-51%,-41%
2008-01-06 - 2008-01-12,-40%,-25%
2008-01-13 - 2008-01-19,-41%,-32%
2008-01-20 - 2008-01-26,-40%,-25%
2008-01-27 - 2008-02-02,-41%,-24%
2008-02-03 - 2008-02-09,-40%,-28%
2008-02-10 - 2008-02-16,-41%,-29%
2008-02-17 - 2008-02-23,-39%,-25%
2008-02-24 - 2008-03-01,-39%,-24%
2008-03-02 - 2008-03-08,-40%,-21%
2008-03-09 - 2008-03-15,-39%,-25%
2008-03-16 - 2008-03-22,-41%,-31%
2008-03-23 - 2008-03-29,-42%,-25%
2008-03-30 - 2008-04-05,-39%,-19%
2008-04-06 - 2008-04-12,-37%,-25%
2008-04-13 - 2008-04-19,-39%,-24%
2008-04-20 - 2008-04-26,-37%,-24%
2008-04-27 - 2008-05-03,-44%,-37%
2008-05-04 - 2008-05-10,-41%,-21%
2008-05-11 - 2008-05-17,-41%,-22%
2008-05-18 - 2008-05-24,-41%,-31%
2008-05-25 - 2008-05-31,-41%,-28%
2008-06-01 - 2008-06-07,-42%,-24%
2008-06-08 - 2008-06-14,-41%,-26%
2008-06-15 - 2008-06-21,-41%,-28%
2008-06-22 - 2008-06-28,-43%,-21%
2008-06-29 - 2008-07-05,-41%,-32%
2008-07-06 - 2008-07-12,-43%,-24%
2008-07-13 - 2008-07-19,-42%,-19%
2008-07-20 - 2008-07-26,-43%,-19%
2008-07-27 - 2008-08-02,-43%,-32%
2008-08-03 - 2008-08-09,-44%,-26%
2008-08-10 - 2008-08-16,-45%,-24%
2008-08-17 - 2008-08-23,-44%,-32%
2008-08-24 - 2008-08-30,-43%,-28%
2008-08-31 - 2008-09-06,-45%,-32%
2008-09-07 - 2008-09-13,-43%,-32%
2008-09-14 - 2008-09-20,-44%,-28%
2008-09-21 - 2008-09-27,-44%,-28%
2008-09-28 - 2008-10-04,-47%,-31%
2008-10-05 - 2008-10-11,-44%,-28%
2008-10-12 - 2008-10-18,-43%,-31%
2008-10-19 - 2008-10-25,-42%,-34%
2008-10-26 - 2008-11-01,-43%,-31%
2008-11-02 - 2008-11-08,-43%,-29%
2008-11-09 - 2008-11-15,-42%,-31%
2008-11-16 - 2008-11-22,-43%,-28%
2008-11-23 - 2008-11-29,-47%,-34%
2008-11-30 - 2008-12-06,-44%,-31%
2008-12-07 - 2008-12-13,-45%,-37%
2008-12-14 - 2008-12-20,-47%,-32%
2008-12-21 - 2008-12-27,-55%,-46%
2008-12-28 - 2009-01-03,-58%,-62%
2009-01-04 - 2009-01-10,-43%,-37%
2009-01-11 - 2009-01-17,-43%,-32%
2009-01-18 - 2009-01-24,-44%,-34%
2009-01-25 - 2009-01-31,-45%,-34%
2009-02-01 - 2009-02-07,-43%,-29%
2009-02-08 - 2009-02-14,-43%,-29%
2009-02-15 - 2009-02-21,-42%,-29%
2009-02-22 - 2009-02-28,-43%,-29%
2009-03-01 - 2009-03-07,-44%,-29%
2009-03-08 - 2009-03-14,-43%,-29%
2009-03-15 - 2009-03-21,-43%,-28%
2009-03-22 - 2009-03-28,-43%,-29%
2009-03-29 - 2009-04-04,-43%,-29%
2009-04-05 - 2009-04-11,-45%,-31%
2009-04-12 - 2009-04-18,-45%,-32%
2009-04-19 - 2009-04-25,-44%,-29%
2009-04-26 - 2009-05-02,-48%,-29%
2009-05-03 - 2009-05-09,-44%,-26%
2009-05-10 - 2009-05-16,-43%,-26%
2009-05-17 - 2009-05-23,-45%,-29%
2009-05-24 - 2009-05-30,-48%,-25%
2009-05-31 - 2009-06-06,-47%,-26%
2009-06-07 - 2009-06-13,-45%,-25%
2009-06-14 - 2009-06-20,-47%,-28%
2009-06-21 - 2009-06-27,-49%,-34%
2009-06-28 - 2009-07-04,-50%,-35%
2009-07-05 - 2009-07-11,-47%,-28%
2009-07-12 - 2009-07-18,-47%,-31%
2009-07-19 - 2009-07-25,-49%,-32%
2009-07-26 - 2009-08-01,-49%,-35%
2009-08-02 - 2009-08-08,-48%,-28%
2009-08-09 - 2009-08-15,-49%,-35%
2009-08-16 - 2009-08-22,-47%,-34%
2009-08-23 - 2009-08-29,-47%,-38%
2009-08-30 - 2009-09-05,-47%,-37%
2009-09-06 - 2009-09-12,-48%,-34%
2009-09-13 - 2009-09-19,-48%,-32%
2009-09-20 - 2009-09-26,-48%,-35%
2009-09-27 - 2009-10-03,-50%,-31%
2009-10-04 - 2009-10-10,-47%,-32%
2009-10-11 - 2009-10-17,-48%,-31%
2009-10-18 - 2009-10-24,-39%,-29%
2009-10-25 - 2009-10-31,-40%,-28%
2009-11-01 - 2009-11-07,-43%,-29%
2009-11-08 - 2009-11-14,-44%,-34%
2009-11-15 - 2009-11-21,-44%,-26%
2009-11-22 - 2009-11-28,-47%,-34%
2009-11-29 - 2009-12-05,-47%,-31%
2009-12-06 - 2009-12-12,-47%,-31%
2009-12-13 - 2009-12-19,-49%,-34%
2009-12-20 - 2009-12-26,-55%,-47%
2009-12-27 - 2010-01-02,-58%,-59%
2010-01-03 - 2010-01-09,-51%,-43%
2010-01-10 - 2010-01-16,-49%,-38%
2010-01-17 - 2010-01-23,-49%,-34%
2010-01-24 - 2010-01-30,-48%,-35%
2010-01-31 - 2010-02-06,-47%,-35%
2010-02-07 - 2010-02-13,-49%,-31%
2010-02-14 - 2010-02-20,-49%,-35%
2010-02-21 - 2010-02-27,-47%,-35%
2010-02-28 - 2010-03-06,-48%,-32%
2010-03-07 - 2010-03-13,-45%,-26%
2010-03-14 - 2010-03-20,-48%,-31%
2010-03-21 - 2010-03-27,-48%,-29%
2010-03-28 - 2010-04-03,-49%,-38%
2010-04-04 - 2010-04-10,-49%,-32%
2010-04-11 - 2010-04-17,-45%,-26%
2010-04-18 - 2010-04-24,-48%,-26%
2010-04-25 - 2010-05-01,-49%,-34%
2010-05-02 - 2010-05-08,-50%,-34%
2010-05-09 - 2010-05-15,-48%,-31%
2010-05-16 - 2010-05-22,-48%,-34%
2010-05-23 - 2010-05-29,-51%,-29%
2010-05-30 - 2010-06-05,-49%,-37%
2010-06-06 - 2010-06-12,-50%,-31%
2010-06-13 - 2010-06-19,-51%,-32%
2010-06-20 - 2010-06-26,-50%,-32%
2010-06-27 - 2010-07-03,-52%,-37%
2010-07-04 - 2010-07-10,-55%,-40%
2010-07-11 - 2010-07-17,-55%,-37%
2010-07-18 - 2010-07-24,-52%,-40%
2010-07-25 - 2010-07-31,-53%,-37%
2010-08-01 - 2010-08-07,-53%,-35%
2010-08-08 - 2010-08-14,-55%,-41%
2010-08-15 - 2010-08-21,-53%,-40%
2010-08-22 - 2010-08-28,-52%,-40%
2010-08-29 - 2010-09-04,-53%,-43%
2010-09-05 - 2010-09-11,-55%,-46%
2010-09-12 - 2010-09-18,-52%,-40%
2010-09-19 - 2010-09-25,-53%,-44%
2010-09-26 - 2010-10-02,-51%,-43%
2010-10-03 - 2010-10-09,-51%,-43%
2010-10-10 - 2010-10-16,-52%,-43%
2010-10-17 - 2010-10-23,-52%,-40%
2010-10-24 - 2010-10-30,-51%,-46%
2010-10-31 - 2010-11-06,-53%,-47%
2010-11-07 - 2010-11-13,-52%,-46%
2010-11-14 - 2010-11-20,-52%,-43%
2010-11-21 - 2010-11-27,-55%,-50%
2010-11-28 - 2010-12-04,-55%,-47%
2010-12-05 - 2010-12-11,-55%,-46%
2010-12-12 - 2010-12-18,-55%,-43%
2010-12-19 - 2010-12-25,-58%,-56%
2010-12-26 - 2011-01-01,-62%,-62%
2011-01-02 - 2011-01-08,-56%,-51%
2011-01-09 - 2011-01-15,-55%,-47%
2011-01-16 - 2011-01-22,-52%,-47%
2011-01-23 - 2011-01-29,-55%,-46%
2011-01-30 - 2011-02-05,-56%,-49%
2011-02-06 - 2011-02-12,-53%,-47%
2011-02-13 - 2011-02-19,-53%,-46%
2011-02-20 - 2011-02-26,-55%,-49%
2011-02-27 - 2011-03-05,-55%,-47%
2011-03-06 - 2011-03-12,-55%,-47%
2011-03-13 - 2011-03-19,-55%,-49%
2011-03-20 - 2011-03-26,-53%,-46%
2011-03-27 - 2011-04-02,-53%,-44%
2011-04-03 - 2011-04-09,-53%,-46%
2011-04-10 - 2011-04-16,-51%,-46%
2011-04-17 - 2011-04-23,-55%,-53%
2011-04-24 - 2011-04-30,-56%,-49%
2011-05-01 - 2011-05-07,-57%,-49%
2011-05-08 - 2011-05-14,-55%,-47%
2011-05-15 - 2011-05-21,-55%,-50%
2011-05-22 - 2011-05-28,-52%,-44%
2011-05-29 - 2011-06-04,-57%,-51%
2011-06-05 - 2011-06-11,-55%,-47%
2011-06-12 - 2011-06-18,-55%,-49%
2011-06-19 - 2011-06-25,-56%,-49%
2011-06-26 - 2011-07-02,-57%,-47%
2011-07-03 - 2011-07-09,-57%,-47%
2011-07-10 - 2011-07-16,-57%,-44%
2011-07-17 - 2011-07-23,-57%,-49%
2011-07-24 - 2011-07-30,-57%,-47%
2011-07-31 - 2011-08-06,-57%,-50%
2011-08-07 - 2011-08-13,-57%,-49%
2011-08-14 - 2011-08-20,-58%,-51%
2011-08-21 - 2011-08-27,-57%,-51%
2011-08-28 - 2011-09-03,-57%,-56%
2011-09-04 - 2011-09-10,-58%,-53%
2011-09-11 - 2011-09-17,-55%,-47%
2011-09-18 - 2011-09-24,-57%,-49%
2011-09-25 - 2011-10-01,-56%,-49%
2011-10-02 - 2011-10-08,-58%,-54%
2011-10-09 - 2011-10-15,-56%,-49%
2011-10-16 - 2011-10-22,-55%,-47%
2011-10-23 - 2011-10-29,-56%,-53%
2011-10-30 - 2011-11-05,-58%,-54%
2011-11-06 - 2011-11-12,-56%,-53%
2011-11-13 - 2011-11-19,-56%,-49%
2011-11-20 - 2011-11-26,-57%,-54%
2011-11-27 - 2011-12-03,-57%,-53%
2011-12-04 - 2011-12-10,-57%,-54%
2011-12-11 - 2011-12-17,-56%,-53%
2011-12-18 - 2011-12-24,-60%,-57%
2011-12-25 - 2011-12-31,-65%,-66%
2012-01-01 - 2012-01-07,-61%,-59%
2012-01-08 - 2012-01-14,-58%,-54%
2012-01-15 - 2012-01-21,-59%,-54%
2012-01-22 - 2012-01-28,-59%,-54%
2012-01-29 - 2012-02-04,-58%,-54%
2012-02-05 - 2012-02-11,-58%,-50%
2012-02-12 - 2012-02-18,-56%,-54%
2012-02-19 - 2012-02-25,-57%,-54%
2012-02-26 - 2012-03-03,-57%,-50%
2012-03-04 - 2012-03-10,-57%,-54%
2012-03-11 - 2012-03-17,-57%,-50%
2012-03-18 - 2012-03-24,-58%,-53%
2012-03-25 - 2012-03-31,-57%,-51%
2012-04-01 - 2012-04-07,-59%,-59%
2012-04-08 - 2012-04-14,-59%,-53%
2012-04-15 - 2012-04-21,-58%,-49%
2012-04-22 - 2012-04-28,-58%,-50%
2012-04-29 - 2012-05-05,-59%,-57%
2012-05-06 - 2012-05-12,-59%,-50%
2012-05-13 - 2012-05-19,-58%,-49%
2012-05-20 - 2012-05-26,-56%,-49%
2012-05-27 - 2012-06-02,-58%,-53%
2012-06-03 - 2012-06-09,-59%,-51%
2012-06-10 - 2012-06-16,-59%,-50%
2012-06-17 - 2012-06-23,-59%,-50%
2012-06-24 - 2012-06-30,-59%,-53%
2012-07-01 - 2012-07-07,-61%,-53%
2012-07-08 - 2012-07-14,-60%,-51%
2012-07-15 - 2012-07-21,-60%,-53%
2012-07-22 - 2012-07-28,-60%,-53%
2012-07-29 - 2012-08-04,-62%,-54%
2012-08-05 - 2012-08-11,-61%,-51%
2012-08-12 - 2012-08-18,-61%,-56%
2012-08-19 - 2012-08-25,-59%,-54%
2012-08-26 - 2012-09-01,-59%,-54%
2012-09-02 - 2012-09-08,-59%,-53%
2012-09-09 - 2012-09-15,-58%,-53%
2012-09-16 - 2012-09-22,-58%,-53%
2012-09-23 - 2012-09-29,-59%,-51%
2012-09-30 - 2012-10-06,-59%,-53%
2012-10-07 - 2012-10-13,-59%,-56%
2012-10-14 - 2012-10-20,-59%,-54%
2012-10-21 - 2012-10-27,-58%,-53%
2012-10-28 - 2012-11-03,-60%,-57%
2012-11-04 - 2012-11-10,-59%,-54%
2012-11-11 - 2012-11-17,-60%,-57%
2012-11-18 - 2012-11-24,-60%,-56%
2012-11-25 - 2012-12-01,-59%,-53%
2012-12-02 - 2012-12-08,-60%,-56%
2012-12-09 - 2012-12-15,-60%,-57%
2012-12-16 - 2012-12-22,-62%,-59%
2012-12-23 - 2012-12-29,-69%,-74%
2012-12-30 - 2013-01-05,-67%,-71%
2013-01-06 - 2013-01-12,-60%,-60%
2013-01-13 - 2013-01-19,-59%,-57%
2013-01-20 - 2013-01-26,-60%,-56%
2013-01-27 - 2013-02-02,-60%,-56%
2013-02-03 - 2013-02-09,-59%,-54%
2013-02-10 - 2013-02-16,-61%,-56%
2013-02-17 - 2013-02-23,-60%,-56%
2013-02-24 - 2013-03-02,-60%,-54%
2013-03-03 - 2013-03-09,-59%,-54%
2013-03-10 - 2013-03-16,-60%,-56%
2013-03-17 - 2013-03-23,-60%,-54%
2013-03-24 - 2013-03-30,-61%,-59%
2013-03-31 - 2013-04-06,-61%,-57%
2013-04-07 - 2013-04-13,-59%,-53%
2013-04-14 - 2013-04-20,-60%,-54%
2013-04-21 - 2013-04-27,-59%,-56%
2013-04-28 - 2013-05-04,-62%,-59%
2013-05-05 - 2013-05-11,-62%,-57%
2013-05-12 - 2013-05-18,-61%,-56%
2013-05-19 - 2013-05-25,-62%,-59%
2013-05-26 - 2013-06-01,-61%,-57%
2013-06-02 - 2013-06-08,-60%,-54%
2013-06-09 - 2013-06-15,-61%,-56%
2013-06-16 - 2013-06-22,-61%,-56%
2013-06-23 - 2013-06-29,-61%,-56%
2013-06-30 - 2013-07-06,-62%,-57%
2013-07-07 - 2013-07-13,-62%,-54%
2013-07-14 - 2013-07-20,-64%,-57%
2013-07-21 - 2013-07-27,-62%,-56%
2013-07-28 - 2013-08-03,-64%,-60%
2013-08-04 - 2013-08-10,-65%,-62%
2013-08-11 - 2013-08-17,-64%,-60%
2013-08-18 - 2013-08-24,-62%,-57%
2013-08-25 - 2013-08-31,-62%,-56%
2013-09-01 - 2013-09-07,-62%,-57%
2013-09-08 - 2013-09-14,-61%,-56%
2013-09-15 - 2013-09-21,-62%,-59%
2013-09-22 - 2013-09-28,-61%,-53%
2013-09-29 - 2013-10-05,-61%,-59%
2013-10-06 - 2013-10-12,-60%,-54%
2013-10-13 - 2013-10-19,-60%,-54%
2013-10-20 - 2013-10-26,-61%,-59%
2013-10-27 - 2013-11-02,-62%,-57%
2013-11-03 - 2013-11-09,-62%,-59%
2013-11-10 - 2013-11-16,-61%,-59%
2013-11-17 - 2013-11-23,-60%,-57%
2013-11-24 - 2013-11-30,-62%,-59%
2013-12-01 - 2013-12-07,-62%,-59%
2013-12-08 - 2013-12-14,-62%,-56%
2013-12-15 - 2013-12-21,-64%,-60%
2013-12-22 - 2013-12-28,-69%,-75%
2013-12-29 - 2014-01-04,-70%,-76%
2014-01-05 - 2014-01-11,-64%,-62%
2014-01-12 - 2014-01-18,-61%,-60%
2014-01-19 - 2014-01-25,-61%,-56%
2014-01-26 - 2014-02-01,-62%,-59%
2014-02-02 - 2014-02-08,-64%,-60%
2014-02-09 - 2014-02-15,-62%,-57%
2014-02-16 - 2014-02-22,-61%,-56%
2014-02-23 - 2014-03-01,-61%,-56%
2014-03-02 - 2014-03-08,-61%,-56%
2014-03-09 - 2014-03-15,-60%,-57%
2014-03-16 - 2014-03-22,-61%,-59%
2014-03-23 - 2014-03-29,-61%,-57%
2014-03-30 - 2014-04-05,-61%,-57%
2014-04-06 - 2014-04-12,-62%,-56%
2014-04-13 - 2014-04-19,-61%,-60%
2014-04-20 - 2014-04-26,-61%,-59%
2014-04-27 - 2014-05-03,-64%,-62%
2014-05-04 - 2014-05-10,-62%,-60%
2014-05-11 - 2014-05-17,-61%,-57%
2014-05-18 - 2014-05-24,-62%,-57%
2014-05-25 - 2014-05-31,-64%,-57%
2014-06-01 - 2014-06-07,-61%,-57%
2014-06-08 - 2014-06-14,-65%,-57%
2014-06-15 - 2014-06-21,-64%,-56%
2014-06-22 - 2014-06-28,-64%,-57%
2014-06-29 - 2014-07-05,-65%,-59%
2014-07-06 - 2014-07-12,-65%,-60%
2014-07-13 - 2014-07-19,-64%,-57%
2014-07-20 - 2014-07-26,-64%,-59%
2014-07-27 - 2014-08-02,-65%,-59%
2014-08-03 - 2014-08-09,-65%,-59%
2014-08-10 - 2014-08-16, , 
2014-08-17 - 2014-08-23, , 
2014-08-24 - 2014-08-30, , 
2014-08-31 - 2014-09-06, , 


Top regions for sql server
Region,sql server
India,100
Sri Lanka,64
Iran,60
Bolivia,58
El Salvador,58
Costa Rica,52
Hong Kong,51
South Africa,47
Singapore,47
Tunisia,45
China,44
Guatemala,44
Peru,44
Ecuador,43
Morocco,43
Pakistan,42
Taiwan,42
Bangladesh,39
Dominican Republic,35
United States,35
Portugal,33
Chile,33
Mexico,33
New Zealand,32
Israel,30
Colombia,30
Japan,29
Australia,29
Switzerland,29
Brazil,29
Philippines,27
Austria,27
United Kingdom,27
Sweden,27
Canada,26
United Arab Emirates,26
Germany,25
Uruguay,24
Ireland,22
Belgium,22
Czech Republic,22
Norway,22
Argentina,22
Denmark,22
Netherlands,21
Spain,21
Algeria,20
Malaysia,20
Indonesia,20
Belarus,19
France,19
Slovenia,19
Greece,18
Romania,18
Vietnam,18
Italy,16
Russia,16
Finland,16
Serbia,16
Egypt,15
Thailand,15
Venezuela,14
Croatia,14
South Korea,14
Bulgaria,13
Poland,12
Ukraine,11
Hungary,11
Saudi Arabia,10
Turkey,8


Top cities for sql server
City,sql server
Hyderabad (India),100
Chennai (India),90
Bangalore (India),75
Mumbai (India),51
New Delhi (India),40
Beijing (China),35
Tehrān (Iran),34
Shanghai (China),34
Pune (India),31
São Paulo (Brazil),28
Singapore (Singapore),27
Santiago (Chile),23
Mexico City (Mexico),23
London (United Kingdom),23
Bogotá (Colombia),22



Top searches for sql server
sql server 2008,100
sql server 2005,85
microsoft sql server,55
c# sql server,45
sql server download,45
sql express,40
jdbc sql server,40
sql server express,40
jdbc,40
odbc sql server,40
odbc,40
sql server 2000,30
ms sql server,25
sql server 2012,25
linked server,25
linked server sql,25
connection string,25
sql connection string,25
sqlserver,20
replication,20
collation sql server,20
sql server replication,20
sql management studio,20
collation,20
convert sql server,15
sql server insert,15
visual studio 2008,15
sql server function,15
odbc driver,15
pivot sql server,15
sql server tutorial,15
sql server compact,10
date sql server,10
visual studio 2005,10
visual studio express,10
sql server case,10
microsoft visual studio,5
decimal sql server,5
substring sql server,5
sql server merge,5
sql substring,5
php sql server,5
sql server developer,5



Rising searches for sql server
sql management studio,Breakout
sql server 2008,Breakout
sql server 2012,Breakout
sql server express,+2,250%
sql express,+1,900%
sql server 2005,+1,250%
c# sql server,+160%
sql server download,+100%
linked server,+40%
linked server sql,+40%



