Web Search interest: visual studio
Worldwide; 2004 - present

Interest over time
Week,visual studio
2006-10-22 - 2006-10-28,66
2006-10-29 - 2006-11-04,64
2006-11-05 - 2006-11-11,69
2006-11-12 - 2006-11-18,64
2006-11-19 - 2006-11-25,64
2006-11-26 - 2006-12-02,64
2006-12-03 - 2006-12-09,61
2006-12-10 - 2006-12-16,63
2006-12-17 - 2006-12-23,66
2006-12-24 - 2006-12-30,53
2006-12-31 - 2007-01-06,55
2007-01-07 - 2007-01-13,64
2007-01-14 - 2007-01-20,66
2007-01-21 - 2007-01-27,69
2007-01-28 - 2007-02-03,72
2007-02-04 - 2007-02-10,70
2007-02-11 - 2007-02-17,68
2007-02-18 - 2007-02-24,66
2007-02-25 - 2007-03-03,67
2007-03-04 - 2007-03-10,69
2007-03-11 - 2007-03-17,69
2007-03-18 - 2007-03-24,68
2007-03-25 - 2007-03-31,70
2007-04-01 - 2007-04-07,65
2007-04-08 - 2007-04-14,65
2007-04-15 - 2007-04-21,69
2007-04-22 - 2007-04-28,64
2007-04-29 - 2007-05-05,58
2007-05-06 - 2007-05-12,67
2007-05-13 - 2007-05-19,67
2007-05-20 - 2007-05-26,66
2007-05-27 - 2007-06-02,64
2007-06-03 - 2007-06-09,64
2007-06-10 - 2007-06-16,63
2007-06-17 - 2007-06-23,66
2007-06-24 - 2007-06-30,60
2007-07-01 - 2007-07-07,59
2007-07-08 - 2007-07-14,66
2007-07-15 - 2007-07-21,65
2007-07-22 - 2007-07-28,67
2007-07-29 - 2007-08-04,67
2007-08-05 - 2007-08-11,66
2007-08-12 - 2007-08-18,65
2007-08-19 - 2007-08-25,61
2007-08-26 - 2007-09-01,64
2007-09-02 - 2007-09-08,64
2007-09-09 - 2007-09-15,66
2007-09-16 - 2007-09-22,67
2007-09-23 - 2007-09-29,66
2007-09-30 - 2007-10-06,66
2007-10-07 - 2007-10-13,66
2007-10-14 - 2007-10-20,66
2007-10-21 - 2007-10-27,67
2007-10-28 - 2007-11-03,66
2007-11-04 - 2007-11-10,69
2007-11-11 - 2007-11-17,70
2007-11-18 - 2007-11-24,96
2007-11-25 - 2007-12-01,94
2007-12-02 - 2007-12-08,86
2007-12-09 - 2007-12-15,73
2007-12-16 - 2007-12-22,74
2007-12-23 - 2007-12-29,52
2007-12-30 - 2008-01-05,56
2008-01-06 - 2008-01-12,72
2008-01-13 - 2008-01-19,71
2008-01-20 - 2008-01-26,73
2008-01-27 - 2008-02-02,70
2008-02-03 - 2008-02-09,72
2008-02-10 - 2008-02-16,70
2008-02-17 - 2008-02-23,76
2008-02-24 - 2008-03-01,74
2008-03-02 - 2008-03-08,73
2008-03-09 - 2008-03-15,72
2008-03-16 - 2008-03-22,68
2008-03-23 - 2008-03-29,70
2008-03-30 - 2008-04-05,70
2008-04-06 - 2008-04-12,68
2008-04-13 - 2008-04-19,70
2008-04-20 - 2008-04-26,70
2008-04-27 - 2008-05-03,65
2008-05-04 - 2008-05-10,68
2008-05-11 - 2008-05-17,63
2008-05-18 - 2008-05-24,64
2008-05-25 - 2008-05-31,63
2008-06-01 - 2008-06-07,63
2008-06-08 - 2008-06-14,64
2008-06-15 - 2008-06-21,62
2008-06-22 - 2008-06-28,63
2008-06-29 - 2008-07-05,61
2008-07-06 - 2008-07-12,63
2008-07-13 - 2008-07-19,59
2008-07-20 - 2008-07-26,60
2008-07-27 - 2008-08-02,60
2008-08-03 - 2008-08-09,58
2008-08-10 - 2008-08-16,70
2008-08-17 - 2008-08-23,66
2008-08-24 - 2008-08-30,64
2008-08-31 - 2008-09-06,63
2008-09-07 - 2008-09-13,66
2008-09-14 - 2008-09-20,63
2008-09-21 - 2008-09-27,64
2008-09-28 - 2008-10-04,63
2008-10-05 - 2008-10-11,65
2008-10-12 - 2008-10-18,65
2008-10-19 - 2008-10-25,63
2008-10-26 - 2008-11-01,65
2008-11-02 - 2008-11-08,62
2008-11-09 - 2008-11-15,62
2008-11-16 - 2008-11-22,62
2008-11-23 - 2008-11-29,55
2008-11-30 - 2008-12-06,61
2008-12-07 - 2008-12-13,60
2008-12-14 - 2008-12-20,57
2008-12-21 - 2008-12-27,47
2008-12-28 - 2009-01-03,40
2009-01-04 - 2009-01-10,59
2009-01-11 - 2009-01-17,60
2009-01-18 - 2009-01-24,60
2009-01-25 - 2009-01-31,59
2009-02-01 - 2009-02-07,62
2009-02-08 - 2009-02-14,63
2009-02-15 - 2009-02-21,65
2009-02-22 - 2009-02-28,63
2009-03-01 - 2009-03-07,61
2009-03-08 - 2009-03-14,59
2009-03-15 - 2009-03-21,60
2009-03-22 - 2009-03-28,59
2009-03-29 - 2009-04-04,59
2009-04-05 - 2009-04-11,59
2009-04-12 - 2009-04-18,59
2009-04-19 - 2009-04-25,58
2009-04-26 - 2009-05-02,55
2009-05-03 - 2009-05-09,58
2009-05-10 - 2009-05-16,59
2009-05-17 - 2009-05-23,60
2009-05-24 - 2009-05-30,56
2009-05-31 - 2009-06-06,55
2009-06-07 - 2009-06-13,57
2009-06-14 - 2009-06-20,54
2009-06-21 - 2009-06-27,52
2009-06-28 - 2009-07-04,51
2009-07-05 - 2009-07-11,52
2009-07-12 - 2009-07-18,52
2009-07-19 - 2009-07-25,53
2009-07-26 - 2009-08-01,54
2009-08-02 - 2009-08-08,55
2009-08-09 - 2009-08-15,53
2009-08-16 - 2009-08-22,54
2009-08-23 - 2009-08-29,54
2009-08-30 - 2009-09-05,54
2009-09-06 - 2009-09-12,57
2009-09-13 - 2009-09-19,57
2009-09-20 - 2009-09-26,54
2009-09-27 - 2009-10-03,54
2009-10-04 - 2009-10-10,57
2009-10-11 - 2009-10-17,55
2009-10-18 - 2009-10-24,60
2009-10-25 - 2009-10-31,61
2009-11-01 - 2009-11-07,58
2009-11-08 - 2009-11-14,56
2009-11-15 - 2009-11-21,56
2009-11-22 - 2009-11-28,54
2009-11-29 - 2009-12-05,55
2009-12-06 - 2009-12-12,53
2009-12-13 - 2009-12-19,51
2009-12-20 - 2009-12-26,44
2009-12-27 - 2010-01-02,38
2010-01-03 - 2010-01-09,49
2010-01-10 - 2010-01-16,51
2010-01-17 - 2010-01-23,55
2010-01-24 - 2010-01-30,52
2010-01-31 - 2010-02-06,54
2010-02-07 - 2010-02-13,54
2010-02-14 - 2010-02-20,53
2010-02-21 - 2010-02-27,55
2010-02-28 - 2010-03-06,54
2010-03-07 - 2010-03-13,55
2010-03-14 - 2010-03-20,56
2010-03-21 - 2010-03-27,54
2010-03-28 - 2010-04-03,52
2010-04-04 - 2010-04-10,52
2010-04-11 - 2010-04-17,71
2010-04-18 - 2010-04-24,61
2010-04-25 - 2010-05-01,59
2010-05-02 - 2010-05-08,55
2010-05-09 - 2010-05-15,57
2010-05-16 - 2010-05-22,53
2010-05-23 - 2010-05-29,53
2010-05-30 - 2010-06-05,52
2010-06-06 - 2010-06-12,53
2010-06-13 - 2010-06-19,51
2010-06-20 - 2010-06-26,51
2010-06-27 - 2010-07-03,47
2010-07-04 - 2010-07-10,46
2010-07-11 - 2010-07-17,46
2010-07-18 - 2010-07-24,45
2010-07-25 - 2010-07-31,46
2010-08-01 - 2010-08-07,46
2010-08-08 - 2010-08-14,46
2010-08-15 - 2010-08-21,46
2010-08-22 - 2010-08-28,45
2010-08-29 - 2010-09-04,45
2010-09-05 - 2010-09-11,45
2010-09-12 - 2010-09-18,46
2010-09-19 - 2010-09-25,47
2010-09-26 - 2010-10-02,46
2010-10-03 - 2010-10-09,48
2010-10-10 - 2010-10-16,46
2010-10-17 - 2010-10-23,48
2010-10-24 - 2010-10-30,47
2010-10-31 - 2010-11-06,44
2010-11-07 - 2010-11-13,45
2010-11-14 - 2010-11-20,44
2010-11-21 - 2010-11-27,40
2010-11-28 - 2010-12-04,41
2010-12-05 - 2010-12-11,42
2010-12-12 - 2010-12-18,42
2010-12-19 - 2010-12-25,35
2010-12-26 - 2011-01-01,30
2011-01-02 - 2011-01-08,38
2011-01-09 - 2011-01-15,41
2011-01-16 - 2011-01-22,42
2011-01-23 - 2011-01-29,42
2011-01-30 - 2011-02-05,40
2011-02-06 - 2011-02-12,42
2011-02-13 - 2011-02-19,43
2011-02-20 - 2011-02-26,42
2011-02-27 - 2011-03-05,42
2011-03-06 - 2011-03-12,44
2011-03-13 - 2011-03-19,42
2011-03-20 - 2011-03-26,42
2011-03-27 - 2011-04-02,42
2011-04-03 - 2011-04-09,44
2011-04-10 - 2011-04-16,41
2011-04-17 - 2011-04-23,40
2011-04-24 - 2011-04-30,38
2011-05-01 - 2011-05-07,37
2011-05-08 - 2011-05-14,39
2011-05-15 - 2011-05-21,41
2011-05-22 - 2011-05-28,40
2011-05-29 - 2011-06-04,37
2011-06-05 - 2011-06-11,38
2011-06-12 - 2011-06-18,39
2011-06-19 - 2011-06-25,39
2011-06-26 - 2011-07-02,37
2011-07-03 - 2011-07-09,38
2011-07-10 - 2011-07-16,38
2011-07-17 - 2011-07-23,37
2011-07-24 - 2011-07-30,37
2011-07-31 - 2011-08-06,36
2011-08-07 - 2011-08-13,36
2011-08-14 - 2011-08-20,35
2011-08-21 - 2011-08-27,36
2011-08-28 - 2011-09-03,36
2011-09-04 - 2011-09-10,37
2011-09-11 - 2011-09-17,42
2011-09-18 - 2011-09-24,40
2011-09-25 - 2011-10-01,38
2011-10-02 - 2011-10-08,38
2011-10-09 - 2011-10-15,39
2011-10-16 - 2011-10-22,39
2011-10-23 - 2011-10-29,38
2011-10-30 - 2011-11-05,37
2011-11-06 - 2011-11-12,36
2011-11-13 - 2011-11-19,36
2011-11-20 - 2011-11-26,35
2011-11-27 - 2011-12-03,35
2011-12-04 - 2011-12-10,33
2011-12-11 - 2011-12-17,34
2011-12-18 - 2011-12-24,31
2011-12-25 - 2011-12-31,25
2012-01-01 - 2012-01-07,30
2012-01-08 - 2012-01-14,34
2012-01-15 - 2012-01-21,34
2012-01-22 - 2012-01-28,35
2012-01-29 - 2012-02-04,36
2012-02-05 - 2012-02-11,35
2012-02-12 - 2012-02-18,35
2012-02-19 - 2012-02-25,36
2012-02-26 - 2012-03-03,41
2012-03-04 - 2012-03-10,39
2012-03-11 - 2012-03-17,38
2012-03-18 - 2012-03-24,35
2012-03-25 - 2012-03-31,35
2012-04-01 - 2012-04-07,34
2012-04-08 - 2012-04-14,34
2012-04-15 - 2012-04-21,35
2012-04-22 - 2012-04-28,35
2012-04-29 - 2012-05-05,31
2012-05-06 - 2012-05-12,35
2012-05-13 - 2012-05-19,34
2012-05-20 - 2012-05-26,34
2012-05-27 - 2012-06-02,33
2012-06-03 - 2012-06-09,34
2012-06-10 - 2012-06-16,32
2012-06-17 - 2012-06-23,33
2012-06-24 - 2012-06-30,33
2012-07-01 - 2012-07-07,31
2012-07-08 - 2012-07-14,33
2012-07-15 - 2012-07-21,33
2012-07-22 - 2012-07-28,32
2012-07-29 - 2012-08-04,32
2012-08-05 - 2012-08-11,31
2012-08-12 - 2012-08-18,34
2012-08-19 - 2012-08-25,36
2012-08-26 - 2012-09-01,34
2012-09-02 - 2012-09-08,35
2012-09-09 - 2012-09-15,38
2012-09-16 - 2012-09-22,38
2012-09-23 - 2012-09-29,37
2012-09-30 - 2012-10-06,35
2012-10-07 - 2012-10-13,35
2012-10-14 - 2012-10-20,36
2012-10-21 - 2012-10-27,35
2012-10-28 - 2012-11-03,34
2012-11-04 - 2012-11-10,34
2012-11-11 - 2012-11-17,33
2012-11-18 - 2012-11-24,31
2012-11-25 - 2012-12-01,34
2012-12-02 - 2012-12-08,32
2012-12-09 - 2012-12-15,32
2012-12-16 - 2012-12-22,29
2012-12-23 - 2012-12-29,22
2012-12-30 - 2013-01-05,23
2013-01-06 - 2013-01-12,32
2013-01-13 - 2013-01-19,32
2013-01-20 - 2013-01-26,31
2013-01-27 - 2013-02-02,34
2013-02-03 - 2013-02-09,33
2013-02-10 - 2013-02-16,32
2013-02-17 - 2013-02-23,34
2013-02-24 - 2013-03-02,34
2013-03-03 - 2013-03-09,34
2013-03-10 - 2013-03-16,34
2013-03-17 - 2013-03-23,33
2013-03-24 - 2013-03-30,30
2013-03-31 - 2013-04-06,31
2013-04-07 - 2013-04-13,35
2013-04-14 - 2013-04-20,32
2013-04-21 - 2013-04-27,33
2013-04-28 - 2013-05-04,30
2013-05-05 - 2013-05-11,30
2013-05-12 - 2013-05-18,31
2013-05-19 - 2013-05-25,31
2013-05-26 - 2013-06-01,30
2013-06-02 - 2013-06-08,31
2013-06-09 - 2013-06-15,31
2013-06-16 - 2013-06-22,32
2013-06-23 - 2013-06-29,34
2013-06-30 - 2013-07-06,32
2013-07-07 - 2013-07-13,31
2013-07-14 - 2013-07-20,33
2013-07-21 - 2013-07-27,32
2013-07-28 - 2013-08-03,30
2013-08-04 - 2013-08-10,30
2013-08-11 - 2013-08-17,30
2013-08-18 - 2013-08-24,31
2013-08-25 - 2013-08-31,31
2013-09-01 - 2013-09-07,31
2013-09-08 - 2013-09-14,34
2013-09-15 - 2013-09-21,34
2013-09-22 - 2013-09-28,34
2013-09-29 - 2013-10-05,33
2013-10-06 - 2013-10-12,36
2013-10-13 - 2013-10-19,38
2013-10-20 - 2013-10-26,39
2013-10-27 - 2013-11-02,38
2013-11-03 - 2013-11-09,38
2013-11-10 - 2013-11-16,40
2013-11-17 - 2013-11-23,39
2013-11-24 - 2013-11-30,35
2013-12-01 - 2013-12-07,36
2013-12-08 - 2013-12-14,34
2013-12-15 - 2013-12-21,33
2013-12-22 - 2013-12-28,23
2013-12-29 - 2014-01-04,23
2014-01-05 - 2014-01-11,33
2014-01-12 - 2014-01-18,35
2014-01-19 - 2014-01-25,35
2014-01-26 - 2014-02-01,34
2014-02-02 - 2014-02-08,34
2014-02-09 - 2014-02-15,36
2014-02-16 - 2014-02-22,37
2014-02-23 - 2014-03-01,37
2014-03-02 - 2014-03-08,37
2014-03-09 - 2014-03-15,36
2014-03-16 - 2014-03-22,35
2014-03-23 - 2014-03-29,36
2014-03-30 - 2014-04-05,36
2014-04-06 - 2014-04-12,37
2014-04-13 - 2014-04-19,35
2014-04-20 - 2014-04-26,34
2014-04-27 - 2014-05-03,33
2014-05-04 - 2014-05-10,35
2014-05-11 - 2014-05-17,36
2014-05-18 - 2014-05-24,35
2014-05-25 - 2014-05-31,32
2014-06-01 - 2014-06-07,34
2014-06-08 - 2014-06-14,32
2014-06-15 - 2014-06-21,32
2014-06-22 - 2014-06-28,32
2014-06-29 - 2014-07-05,32
2014-07-06 - 2014-07-12,34
2014-07-13 - 2014-07-19,33
2014-07-20 - 2014-07-26,33
2014-07-27 - 2014-08-02,31
2014-08-03 - 2014-08-09,36
2014-08-10 - 2014-08-16, 
2014-08-17 - 2014-08-23, 
2014-08-24 - 2014-08-30, 
2014-08-31 - 2014-09-06, 

Interest over time
Week,Programming,visual studio
2004-01-04 - 2004-01-10,+0%,+0%
2004-01-11 - 2004-01-17,+3%,-8%
2004-01-18 - 2004-01-24,+3%,-12%
2004-01-25 - 2004-01-31,+6%,-8%
2004-02-01 - 2004-02-07,+7%,+7%
2004-02-08 - 2004-02-14,+8%,-3%
2004-02-15 - 2004-02-21,+8%,+3%
2004-02-22 - 2004-02-28,+11%,+2%
2004-02-29 - 2004-03-06,+14%,-2%
2004-03-07 - 2004-03-13,+2%,-3%
2004-03-14 - 2004-03-20,+6%,-3%
2004-03-21 - 2004-03-27,-1%,-8%
2004-03-28 - 2004-04-03,+5%,-5%
2004-04-04 - 2004-04-10,+3%,+2%
2004-04-11 - 2004-04-17,+3%,+8%
2004-04-18 - 2004-04-24,+7%,+5%
2004-04-25 - 2004-05-01,+3%,-3%
2004-05-02 - 2004-05-08,-1%,-10%
2004-05-09 - 2004-05-15,+3%,-17%
2004-05-16 - 2004-05-22,+3%,-17%
2004-05-23 - 2004-05-29,+1%,-7%
2004-05-30 - 2004-06-05,+1%,-3%
2004-06-06 - 2004-06-12,+2%,+0%
2004-06-13 - 2004-06-19,-2%,-14%
2004-06-20 - 2004-06-26,-1%,-2%
2004-06-27 - 2004-07-03,-2%,+2%
2004-07-04 - 2004-07-10,-2%,-3%
2004-07-11 - 2004-07-17,+2%,+10%
2004-07-18 - 2004-07-24,-2%,+0%
2004-07-25 - 2004-07-31,+1%,+2%
2004-08-01 - 2004-08-07,-5%,+2%
2004-08-08 - 2004-08-14,-5%,-8%
2004-08-15 - 2004-08-21,-5%,+2%
2004-08-22 - 2004-08-28,-2%,-3%
2004-08-29 - 2004-09-04,-2%,-2%
2004-09-05 - 2004-09-11,-2%,-2%
2004-09-12 - 2004-09-18,+0%,+8%
2004-09-19 - 2004-09-25,-6%,+5%
2004-09-26 - 2004-10-02,-5%,+7%
2004-10-03 - 2004-10-09,+0%,+5%
2004-10-10 - 2004-10-16,-5%,-2%
2004-10-17 - 2004-10-23,-3%,+0%
2004-10-24 - 2004-10-30,-1%,+2%
2004-10-31 - 2004-11-06,-8%,-8%
2004-11-07 - 2004-11-13,-7%,-5%
2004-11-14 - 2004-11-20,-3%,-15%
2004-11-21 - 2004-11-27,-5%,-12%
2004-11-28 - 2004-12-04,-8%,-7%
2004-12-05 - 2004-12-11,-7%,-8%
2004-12-12 - 2004-12-18,-9%,-15%
2004-12-19 - 2004-12-25,-15%,-15%
2004-12-26 - 2005-01-01,-23%,-22%
2005-01-02 - 2005-01-08,-17%,-19%
2005-01-09 - 2005-01-15,-11%,-8%
2005-01-16 - 2005-01-22,-14%,+2%
2005-01-23 - 2005-01-29,-9%,+5%
2005-01-30 - 2005-02-05,-9%,-8%
2005-02-06 - 2005-02-12,-12%,-3%
2005-02-13 - 2005-02-19,-10%,-3%
2005-02-20 - 2005-02-26,-6%,-8%
2005-02-27 - 2005-03-05,-10%,-2%
2005-03-06 - 2005-03-12,-10%,+0%
2005-03-13 - 2005-03-19,-9%,-3%
2005-03-20 - 2005-03-26,-14%,-7%
2005-03-27 - 2005-04-02,-17%,-14%
2005-04-03 - 2005-04-09,-14%,-3%
2005-04-10 - 2005-04-16,-15%,-15%
2005-04-17 - 2005-04-23,-12%,+7%
2005-04-24 - 2005-04-30,-14%,-5%
2005-05-01 - 2005-05-07,-15%,-7%
2005-05-08 - 2005-05-14,-9%,-2%
2005-05-15 - 2005-05-21,-11%,-10%
2005-05-22 - 2005-05-28,-11%,+0%
2005-05-29 - 2005-06-04,-12%,-2%
2005-06-05 - 2005-06-11,-14%,-3%
2005-06-12 - 2005-06-18,-14%,+2%
2005-06-19 - 2005-06-25,-12%,+2%
2005-06-26 - 2005-07-02,-12%,+3%
2005-07-03 - 2005-07-09,-17%,+0%
2005-07-10 - 2005-07-16,-14%,+0%
2005-07-17 - 2005-07-23,-17%,+3%
2005-07-24 - 2005-07-30,-17%,-7%
2005-07-31 - 2005-08-06,-19%,-2%
2005-08-07 - 2005-08-13,-19%,+2%
2005-08-14 - 2005-08-20,-23%,-3%
2005-08-21 - 2005-08-27,-19%,+0%
2005-08-28 - 2005-09-03,-19%,-8%
2005-09-04 - 2005-09-10,-20%,+0%
2005-09-11 - 2005-09-17,-18%,-2%
2005-09-18 - 2005-09-24,-16%,+7%
2005-09-25 - 2005-10-01,-20%,+5%
2005-10-02 - 2005-10-08,-22%,+3%
2005-10-09 - 2005-10-15,-15%,-5%
2005-10-16 - 2005-10-22,-16%,+8%
2005-10-23 - 2005-10-29,-16%,+24%
2005-10-30 - 2005-11-05,-23%,+29%
2005-11-06 - 2005-11-12,-19%,+69%
2005-11-13 - 2005-11-19,-18%,+41%
2005-11-20 - 2005-11-26,-19%,+29%
2005-11-27 - 2005-12-03,-18%,+29%
2005-12-04 - 2005-12-10,-20%,+31%
2005-12-11 - 2005-12-17,-20%,+17%
2005-12-18 - 2005-12-24,-26%,+24%
2005-12-25 - 2005-12-31,-32%,+5%
2006-01-01 - 2006-01-07,-31%,+15%
2006-01-08 - 2006-01-14,-25%,+27%
2006-01-15 - 2006-01-21,-24%,+25%
2006-01-22 - 2006-01-28,-25%,+29%
2006-01-29 - 2006-02-04,-24%,+31%
2006-02-05 - 2006-02-11,-20%,+36%
2006-02-12 - 2006-02-18,-24%,+22%
2006-02-19 - 2006-02-25,-19%,+22%
2006-02-26 - 2006-03-04,-22%,+20%
2006-03-05 - 2006-03-11,-22%,+24%
2006-03-12 - 2006-03-18,-22%,+27%
2006-03-19 - 2006-03-25,-23%,+12%
2006-03-26 - 2006-04-01,-22%,+19%
2006-04-02 - 2006-04-08,-24%,+14%
2006-04-09 - 2006-04-15,-25%,+14%
2006-04-16 - 2006-04-22,-23%,+19%
2006-04-23 - 2006-04-29,-23%,+19%
2006-04-30 - 2006-05-06,-27%,+14%
2006-05-07 - 2006-05-13,-23%,+20%
2006-05-14 - 2006-05-20,-23%,+19%
2006-05-21 - 2006-05-27,-25%,+12%
2006-05-28 - 2006-06-03,-25%,+8%
2006-06-04 - 2006-06-10,-25%,+8%
2006-06-11 - 2006-06-17,-24%,+19%
2006-06-18 - 2006-06-24,-25%,+12%
2006-06-25 - 2006-07-01,-28%,+2%
2006-07-02 - 2006-07-08,-30%,+3%
2006-07-09 - 2006-07-15,-27%,+12%
2006-07-16 - 2006-07-22,-28%,+8%
2006-07-23 - 2006-07-29,-27%,+12%
2006-07-30 - 2006-08-05,-28%,+8%
2006-08-06 - 2006-08-12,-28%,+5%
2006-08-13 - 2006-08-19,-32%,+8%
2006-08-20 - 2006-08-26,-27%,+5%
2006-08-27 - 2006-09-02,-31%,+12%
2006-09-03 - 2006-09-09,-28%,+8%
2006-09-10 - 2006-09-16,-26%,+14%
2006-09-17 - 2006-09-23,-27%,+19%
2006-09-24 - 2006-09-30,-27%,+17%
2006-10-01 - 2006-10-07,-31%,+10%
2006-10-08 - 2006-10-14,-26%,+12%
2006-10-15 - 2006-10-21,-24%,+12%
2006-10-22 - 2006-10-28,-27%,+12%
2006-10-29 - 2006-11-04,-30%,+8%
2006-11-05 - 2006-11-11,-27%,+17%
2006-11-12 - 2006-11-18,-25%,+8%
2006-11-19 - 2006-11-25,-30%,+8%
2006-11-26 - 2006-12-02,-27%,+8%
2006-12-03 - 2006-12-09,-30%,+3%
2006-12-10 - 2006-12-16,-30%,+7%
2006-12-17 - 2006-12-23,-32%,+12%
2006-12-24 - 2006-12-30,-42%,-10%
2006-12-31 - 2007-01-06,-40%,-7%
2007-01-07 - 2007-01-13,-32%,+8%
2007-01-14 - 2007-01-20,-33%,+12%
2007-01-21 - 2007-01-27,-30%,+17%
2007-01-28 - 2007-02-03,-30%,+22%
